#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6275.6189768465865    All      2.8909112341829477        -0.8915707906144377        0.038538398605782176       -1.2303590437095744       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5240.596071137325     All      -1.893492949710978        1.8952560856275724         -0.03676097481389805       1.232479733481774         
Check         All|All|All                            All                   All      0.9974182844719698        1.0036852950131347         0.001777423791884128       0.002120689772199702      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6275.6189768465865    All      -0.0004216122279595456    7.489292843960544e-05      0.0010781667746586532      0.00020984169528579367    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5240.596071137325     All      9.676153861060293e-05     -0.00013893672253106277    -0.00039526017605557326    -9.441332418934177e-05    
MWEBV         All|All|All                            All                   All      -0.5268970257488421       -2.9969329087004226        0.0033299620114793636      -0.8044233479335531       
Redshift      All|All|All                            All                   All      2.1675270022898117        1.0628464198610743         -13.35686854900949         -0.9558865060726507       
