#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6275.6189768465865    All      3.0219088074012825        -0.828079290158179        0.8195456258635048        -1.2174952269759485        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5240.596071137325     All      -2.025002084730663        1.831024832107886         -0.8253004316219226       1.219205458536269          
Check         All|All|All                            All                   All      0.9969067226706195        1.0029455419497069        -0.0057548057584178025    0.0017102315603205742      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6275.6189768465865    All      -0.001374106681029513     0.0001405831049076665     -0.0024782943824034447    0.00038278939920127287     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5240.596071137325     All      0.00023286595250685864    -0.0001863157906024342    0.0002274107865972184     -0.00012639298545455177    
MWEBV         All|All|All                            All                   All      -0.5311192613084126       -2.996825156372296        -0.014414206609458802     -0.8038047691756935        
Redshift      All|All|All                            All                   All      6.746094877637715         1.3616284077304641        16.393728601185796        -1.0223210591351128        
