#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                6967.410787335298    All      1.4210952141682396         0.08324301683337865        2.282874374402588          -0.3339082762350835        
Zeropoint     AB|PS|PS_z                8007.255090434689    All      0.1530828428583056         -0.10718560388163212       -0.24973821389813283       -0.09592266516090617       
Zeropoint     AB|PS|PS_r                5752.407060273051    All      0.2511148266857391         -0.06149706376223918       -3.153425616647204         -0.2425508794555848        
Zeropoint     AB|PS|PS_g                4529.696506199341    All      -0.8296547139965571        1.084405506630759          1.1274307086258695         0.6737844389931792         
Check         All|All|All               All                  All      0.9956381697157272         0.9989658558202663         0.007141252483120919       0.0014026181416048056      
Lambda        AB|PS|PS_i                6967.410787335298    All      -0.0009562100267847886     0.0001025723661023536      -0.0011609716144969366     0.0002930714272641895      
Lambda        AB|PS|PS_z                8007.255090434689    All      -7.460115321506882e-06     -5.26534175274401e-06      -5.846804779356684e-05     -1.8942504817445558e-06    
Lambda        AB|PS|PS_r                5752.407060273051    All      -5.649143690387675e-05     4.555872747621367e-05      0.0008682083942341088      7.198524898702389e-05      
Lambda        AB|PS|PS_g                4529.696506199341    All      -3.3357285332560774e-05    -1.3309882404836072e-05    -0.00036462261737143565    -9.741334088652112e-06     
MWEBV         All|All|All               All                  All      -0.644758154807799         -3.7723342971336393        0.054763648813095644       -1.0163105936281585        
Redshift      All|All|All               All                  All      5.814831014235314          0.20363000380640983        -1.0525149759366421        -1.8747216814762946        
