#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                6967.410787335298    All      1.1595243145541039         0.055293715199145055      1.3220209933672789         -0.3006885092063979        
Zeropoint     AB|PS|PS_z                8007.255090434689    All      0.21904365510574703        -0.10970690132472427      -0.00711635387177223       -0.1074024419905225        
Zeropoint     AB|PS|PS_r                5752.407060273051    All      0.46212737659863884        0.016630449182386542      -2.265091902762839         -0.24619365410252814       
Zeropoint     AB|PS|PS_g                4529.696506199341    All      -0.8337247759831188        1.0326878544355544        0.9437866875957601         0.6500688620909748         
Check         All|All|All               All                  All      1.0069705702753708         0.9949051174923618        -0.006400575671572373      -0.004215743208473732      
Lambda        AB|PS|PS_i                6967.410787335298    All      -0.0008583536577929948     -0.0001554724323046556    -0.002638487647191316      0.00011120795368831564     
Lambda        AB|PS|PS_z                8007.255090434689    All      2.659157772945539e-05      3.5601604130978974e-05    0.00036718915775429213     1.9320827691811602e-05     
Lambda        AB|PS|PS_r                5752.407060273051    All      -0.00015876199897284492    0.000128634755828448      0.000867311372109761       0.00013231870123137793     
Lambda        AB|PS|PS_g                4529.696506199341    All      -5.225785093050817e-06     1.5072262689965082e-06    -0.00012704797387364615    -3.4764042536293806e-06    
MWEBV         All|All|All               All                  All      -0.6486346352601249        -3.7760329594102693       0.02232978435147137        -1.0177000468058608        
Redshift      All|All|All               All                  All      5.5005336628687            1.635260901930824         7.4534997328595916         -0.9264310415427076        
