#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4677.526408999677    All      -2.4290062100056637        1.2508961805366425        -0.7234834398111456       1.166379530712762         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5601.342499699446    All      3.426956494065039          -0.24846203173005676      0.7238664867837252        -1.164901894822712        
Check         All|All|All                            All                  All      0.9979502840593754         1.0024341488065858        0.00038304697257962594    0.0014776358900501219     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4677.526408999677    All      -0.00023912476578883437    -0.0001985573292660378    -0.002332827161789051     -9.088921323853533e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5601.342499699446    All      -0.0006449759588866093     1.7798743919438e-05       -0.0010284368816323507    0.00016999311075648705    
MWEBV         All|All|All                            All                  All      -0.25243577092229064       -2.5916581249786574       -0.012033769004748951     -0.7624986906873021       
Redshift      All|All|All                            All                  All      4.615078680848392          1.9448494134280736        6.707730275537194         -0.5704463256259686       
