#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4677.526408999677    All      -2.41505490344921         1.2706808115709123         -0.559024570384949        1.1756186804160862        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5601.342499699446    All      3.4126037930888637        -0.26798197906590104       0.559837002504679         -1.1739049194826137       
Check         All|All|All                            All                  All      0.9975488896396536        1.0026988325050112         0.0008124321197300333     0.0017137609334725301     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4677.526408999677    All      -0.0003632464025231941    -0.00011876329811673399    -0.0022786521953622567    -2.204959164761209e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5601.342499699446    All      -0.0004917789679526761    2.0044453465323132e-05     -0.0008578116240575591    0.00012843753385085135    
MWEBV         All|All|All                            All                  All      -0.2539384389818826       -2.591047312093764         -0.010453013325995783     -0.7617397185464309       
Redshift      All|All|All                            All                  All      4.882126525051385         1.617504081321286          6.826339583644167         -0.7587667494367584       
