#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                4669.912243806434     All      1.5194115973374178        0.5480087898261488         -0.18217097239480728      -0.32454730642650087      
Zeropoint     AB|PS|PS_z                5366.8686585944015    All      0.9570180034065819        0.13487373594642804        0.496705759294086         -0.245633738904516        
Zeropoint     AB|PS|PS_r                3855.5550952955373    All      -1.148433064557805        0.2857711421748732         -0.553976717331156        0.4424460574782768        
Zeropoint     AB|PS|PS_g                3036.0324402686256    All      -0.34412255188795526      0.02997779396842759        0.2448153204786252        0.13278177353809595       
Check         All|All|All               All                   All      0.9838739842982396        0.9986314619158776         0.005373390046747861      0.005046785685355881      
Lambda        AB|PS|PS_i                4669.912243806434     All      -0.0006465225980155325    -0.00021683203479871762    -0.0010080277524197234    9.498070395287061e-05     
Lambda        AB|PS|PS_z                5366.8686585944015    All      -9.800535925767799e-05    -3.962875987163008e-06     0.00045161055933046955    5.078603579765125e-05     
Lambda        AB|PS|PS_r                3855.5550952955373    All      -0.000820873017911359     0.00020237416164467907     -0.000895462535888946     0.00029334488994763925    
Lambda        AB|PS|PS_g                3036.0324402686256    All      -0.0007358566899247103    4.8184424224276995e-05     0.00020262805950263673    0.00026443034472340343    
MWEBV         All|All|All               All                   All      -0.3909458276215423       -2.0926443005269135        0.08599804117269683       -0.5504614792393198       
Redshift      All|All|All               All                   All      2.218727470842719         0.34530961719188014        -4.617338674243815        -0.8162844469127822       
