#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6146.630934882118    All      0.6064307191341146         -0.04697999627234495       0.08236264598221149        -0.20916189996967316       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5427.123665353587    All      0.3178872056705956         0.14388279741668342        -0.02265060102765635       -0.057689752636710466      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.486976931783    All      -0.309966124579961         0.18829604853145554        -0.15238009079980905       0.1555003585250302         
Zeropoint     AB|CNIa02|SDSS_i                      7405.988719799529    All      0.24963280395514653        -0.0454784777583761        0.07576025534552705        -0.0927466210850767        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4662.827779665835    All      -0.46629131507810895       0.4281460094951228         0.05694384844391127        0.29388880514985266        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.415986598122    All      0.1953229690702963         0.11381413306601473        -0.178945963778148         -0.034535645941983016      
Zeropoint     AB|CNIa02|SDSS_r                      6107.15158631984     All      0.5739102954253049         -0.05044937935876348       -0.04738882376923648       -0.2054892324561739        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4330.666035653565    All      -0.4265353266945682        0.311664470501416          0.07317460046389485        0.24372140633861167        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7458.791898884349    All      0.25632396311790534        -0.04621501374755255       0.11413805985987621        -0.09345344060737944       
Check         All|All|All                           All                  All      0.9967151900207252         0.9966805918736554         0.001013930720570988       3.397731649786018e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6146.630934882118    All      -0.00011038161768232998    -1.052639773105359e-06     -0.0001330594274656536     2.9674213793625433e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5427.123665353587    All      4.068815624805409e-06      -1.5554898198243206e-05    -0.0006874112553579641     -3.7068096354100884e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.486976931783    All      -0.0001066553725636879     4.3765756345965376e-05     -0.00013259634476458482    4.307994452016455e-05      
Lambda        AB|CNIa02|SDSS_i                      7405.988719799529    All      -3.867139578769078e-05     -9.704660249437015e-06     -0.00016216733984461256    2.198635172489198e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4662.827779665835    All      -0.0001421327586938056     -2.9696240428687056e-05    -0.0007083121750430349     5.015553838509034e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.415986598122    All      3.020946298641356e-05      5.7365982694823e-06        -0.00018909520678715887    -1.6410067767678185e-05    
Lambda        AB|CNIa02|SDSS_r                      6107.15158631984     All      -3.1992689069822125e-05    -9.941875410706261e-06     -0.00016827387540532107    -3.2661474638864216e-07    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4330.666035653565    All      -0.00016600210603677674    5.780000074751633e-05      -0.0002778480752223935     6.0500625563135235e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7458.791898884349    All      -4.568230979747521e-05     -1.0799246800356911e-05    -0.00021701553085802538    1.6781548109344697e-06     
MWEBV         All|All|All                           All                  All      -0.8710091827595674        -4.053245364689939         0.023901033875089957       -1.0354924235470633        
Redshift      All|All|All                           All                  All      5.610699926471757          -0.011305482647028242      4.6596616016929815         -1.6233328240022304        
