#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6146.630934882118    All      0.6158190075241075         -0.033096814637190164      0.17252982430693287        -0.2036740183163674        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5427.123665353587    All      0.37835381008644764        0.13551543395697863        0.07164082443631425        -0.07590344729045406       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.486976931783    All      -0.3815593922536579        0.21333293598848613        -0.23972248359696025       0.1830782892473487         
Zeropoint     AB|CNIa02|SDSS_i                      7405.988719799529    All      0.2181151039298259         -0.03457554703194532       0.07344434714620096        -0.07903217439828719       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4662.827779665835    All      -0.44817822020877085       0.3794921278866603         -0.05985375911998769       0.26692846354918337        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.415986598122    All      0.251160359558049          0.11381440014419653        -0.17669202857959476       -0.05262305124731498       
Zeropoint     AB|CNIa02|SDSS_r                      6107.15158631984     All      0.5420345679620925         -0.04064560318743915       -0.0721331435197925        -0.19301707225138215       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4330.666035653565    All      -0.41358518628531354       0.2967261358457485         0.08083414038948522        0.2349790225942741         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7458.791898884349    All      0.235152530799993          -0.034207187491741564      0.15008750452953912        -0.08104160591895365       
Check         All|All|All                           All                  All      0.9973125811127731         0.9963558814737539         0.0001352259921372223      -0.000305594031953238      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6146.630934882118    All      -0.00019112701951940037    -2.9554148091340463e-06    -0.0002880481453976685     4.843941654422989e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5427.123665353587    All      -4.968713590506929e-05     -1.5775322916335385e-05    -0.0007526124116410905     -2.2539442151822644e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.486976931783    All      -7.796726360929987e-05     1.4763286517348938e-05     -0.00014315264394471172    2.3817145897792605e-05     
Lambda        AB|CNIa02|SDSS_i                      7405.988719799529    All      -5.4508061118839265e-05    -6.211636040920198e-06     -0.00017119518489588117    8.092079722209558e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4662.827779665835    All      -8.35120574596508e-05      -0.00010973188663865267    -0.0008630182155160424     -4.7053200229543874e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.415986598122    All      -7.174195571865922e-06     5.611033556300523e-07      -0.00019534618286830082    -6.19776160438477e-06      
Lambda        AB|CNIa02|SDSS_r                      6107.15158631984     All      -9.795912968947612e-05     -1.5933397905589278e-05    -0.00026872942714877435    1.4726319304398939e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4330.666035653565    All      -0.00010585335796661107    9.614756467031322e-06      -0.00030166188742585047    2.414997910628693e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7458.791898884349    All      -5.095738391044221e-05     -4.550250893987323e-06     -0.00018095509328002293    7.041135256381674e-06      
MWEBV         All|All|All                           All                  All      -0.8798929425434943        -4.047287890779305         0.03198546363503141        -1.0302973745009159        
Redshift      All|All|All                           All                  All      5.851737427716383          0.6795807549410782         4.6917617761692565         -1.475369807635217         
