#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          3652.0136895189758    All      -0.509970950951179        0.3424483841598658         0.42026031697472954       0.2964153089695709         
Zeropoint     AB|DECam|DECam_r          4853.79749836268      All      -0.2798350795153469       0.5932910715827688         -0.8768231065407589       0.2452773242677628         
Zeropoint     AB|DECam|DECam_i          5896.757709559138     All      1.0285345635186964        0.04162571556172168        -0.7243972153662426       -0.3537952008020033        
Zeropoint     AB|DECam|DECam_z          6910.132773404872     All      0.7536533590533961        0.02342725539001833        1.1896532772909025        -0.1847699038027766        
Check         All|All|All               All                   All      0.9923818921055666        1.0007924266943746         0.0086932723586306        0.003127528632553861       
Lambda        AB|DECam|DECam_g          3652.0136895189758    All      -0.0008545261129305982    0.0004954013844496784      2.945627325503099e-05     0.00044103029537987494     
Lambda        AB|DECam|DECam_r          4853.79749836268      All      -0.0002212837894113372    -4.7305784969877675e-05    -0.0021272085456365947    -3.8257187723372616e-05    
Lambda        AB|DECam|DECam_i          5896.757709559138     All      -0.0001606916984272494    -1.194236598511795e-06     0.00019490990192331273    6.065150436229038e-05      
Lambda        AB|DECam|DECam_z          6910.132773404872     All      -0.000556623015409121     -2.2836759531299843e-05    -0.0009562206667729608    0.00013120000799020379     
MWEBV         All|All|All               All                   All      -0.4585325506307236       -2.7781293426421882        0.13640216623191126       -0.7494819854194439        
Redshift      All|All|All               All                   All      6.370103369131484         -0.24826088694283044       6.041523874306558         -1.8862135131251845        
