#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_g
@MAGSYS  Linear_AB11_off
56599.0976  19.548  0.025
56599.09394  19.538  0.027
56600.13128  18.69  0.03
56600.15847  18.703  0.029
56600.16213  18.717  0.03
56600.85702  19.427  0.033
56600.86066  19.485  0.033
56601.90971  19.307  0.04
56601.90604  19.516  0.055
56603.15624  19.39  0.028
56603.15988  19.448  0.033
56604.78119  19.672  0.041
56604.77755  19.371  0.034
56605.89328  19.463  0.036
56605.89692  19.525  0.039
56608.14914  19.566  0.067
56612.11809  19.536  0.068
56612.12289  19.506  0.053
56614.10479  19.614  0.217
56614.10959  19.949  0.31
56617.10038  20.104  0.05
56617.10519  19.991  0.044
56618.07075  20.016  0.039
56618.06593  20.069  0.041
56619.88332  20.352  0.09
56619.88814  20.206  0.087
56622.06369  20.113  0.052
56624.14869  20.656  0.062
56624.15349  20.811  0.067
56627.0994  20.951  0.093
56627.1042  21.069  0.083
56629.11003  21.112  0.144
56629.11484  21.519  0.194
56632.11227  20.952  0.121
56632.10747  21.39  0.167
56639.09492  21.542  0.303
56647.06948  22.567  0.479
56651.79191  22.467  0.36
