#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    3929.1514274908263    All      -0.3804637203164356        0.3979013041411683         1.9121166706000885         0.33886808088919096       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    4923.951771237232     All      0.3438022962546799         0.26269144011843437        0.07095539054929462        -0.023254061117587016     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4230.517032665388     All      -1.0428016575595755        0.2403253732855326         -2.2369982430592397        0.3181297301452744        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5576.750438205189     All      1.4843566031794104         -0.001424036569641629      -0.9468650637880015        -0.5262218741003285       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    6767.255335687785     All      0.6302810923033784         0.07689736232014965        1.2966106637806694         -0.1223935078323378       
Check         All|All|All                      All                   All      1.0351746138614575         0.9763914432956433         0.09581941808281114        -0.014871632015787978     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    3929.1514274908263    All      -0.00042444170992413175    0.0003028470546887384      0.0013700426977123665      0.00029804059094445094    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    4923.951771237232     All      -5.038169028340187e-05     -1.2238321785854385e-05    -0.00026615170018910126    5.474220103063868e-07     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4230.517032665388     All      -0.0005998181587752117     4.5909574119401844e-05     -0.0024523763775045927     0.00010089647204445743    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5576.750438205189     All      -2.122127018396039e-05     -8.731635393381494e-05     -0.0009109464513250038     -6.218069953790883e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    6767.255335687785     All      -0.00031821992332974205    -4.2184262224119474e-05    -0.0007155311460398654     5.7983027393537786e-05    
MWEBV         All|All|All                      All                   All      -0.705960600783663         -3.5616360235618316        0.10241422152409557        -0.9256171577945823       
Redshift      All|All|All                      All                   All      4.938129233685803          0.9812175390253586         4.81969240423931           -1.073815581524319        
