#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    3929.1514274908263    All      -0.6513091566140659        0.23186133961097255        -0.007837087430553405      0.2873279528492028        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    4923.951771237232     All      0.5694672381380073         0.21207789342287953        -0.18867332266352177       -0.12483309117916293      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4230.517032665388     All      -0.7736026160374991        0.4594515530095933         0.1280700656510117         0.4073614879613293        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5576.750438205189     All      1.3731074772463456         0.0681421483195166         -0.4880757693182594        -0.446850719649326        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    6767.255335687785     All      0.48210071713389674        0.026623927742797093       0.5665701651443565         -0.1230803507382159       
Check         All|All|All                      All                   All      0.9997636598666847         0.998156862105759          0.010054051383033724       -7.472075617266649e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    3929.1514274908263    All      -0.00048503782743851615    0.00015159453181726938     -0.0002059992262793257     0.0001981793046434912     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    4923.951771237232     All      -7.229445812117494e-05     -2.9502938352701316e-05    -0.0002050050772692704     4.7901707435125665e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4230.517032665388     All      -0.0005083688340217125     8.0659647155297e-05        -0.0015492870777423283     0.00012272838811931938    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5576.750438205189     All      -8.181817551624116e-05     -1.5401648919063894e-05    -0.00018355011636626007    1.344304907328978e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    6767.255335687785     All      -0.0002947490086823068     -1.755156949965104e-05     -0.000368918187056706      7.382920115826939e-05     
MWEBV         All|All|All                      All                   All      -0.7281593357676059        -3.561302218583684         0.050023325364780706       -0.920615533303291        
Redshift      All|All|All                      All                   All      4.9795638300809895         0.8250982748824853         0.399081939309737          -1.3354369151508372       
