#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4659.04140837445     All      0.7052168808021763         0.5334480281453224         1.1811710856837816         -0.0032405257062461537     
Zeropoint     AB|SDSS|SDSS_z            6717.262539693357    All      0.19856919296191067        0.02607514444861181        0.23651932847784896        -0.04563221515043439       
Zeropoint     AB|SDSS|SDSS_i            5649.902025158775    All      1.1152181334991593         0.15178470285768242        -0.9358826578515794        -0.35558610904467214       
Zeropoint     AB|SDSS|SDSS_g            3565.499074690214    All      -1.0231240812701659        0.2873102634604052         -0.4810234104270934        0.40538571254138744        
Check         All|All|All               All                  All      0.9958801259930804         0.9986181389120219         0.0007843458829578376      0.0009268626400347757      
Lambda        AB|SDSS|SDSS_r            4659.04140837445     All      -0.0003673814809725258     -0.000181002494656758      -0.0020292454253266422     -2.9846135815629375e-05    
Lambda        AB|SDSS|SDSS_z            6717.262539693357    All      -9.037866797171614e-05     -1.373456527887794e-05     -0.00014836652493228336    1.8344589178213476e-05     
Lambda        AB|SDSS|SDSS_i            5649.902025158775    All      -0.00017984154566533684    -2.7705502075563125e-05    4.530462231280589e-05      5.157745174157268e-05      
Lambda        AB|SDSS|SDSS_g            3565.499074690214    All      -0.0018030423933810167     0.0004386441814123134      -0.0015615164174006524     0.0006605077607848342      
MWEBV         All|All|All               All                  All      -0.5940792208327892        -2.7724284173412883        -0.0378905111670402        -0.711250878351265         
Redshift      All|All|All               All                  All      8.320267362097663          0.5537045170290966         5.2702734283822785         -2.2946369333485976        
