#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4659.04140837445     All      0.7760904986403485        0.5428588049840144         0.9330835555173778         -0.03433200213369819      
Zeropoint     AB|SDSS|SDSS_z            6717.262539693357    All      0.21590917963064069       0.029724991120438915       0.22041486409764           -0.050810212419812734     
Zeropoint     AB|SDSS|SDSS_i            5649.902025158775    All      0.993967005810183         0.16263464943353512        -0.5473119495107648        -0.295216317087825        
Zeropoint     AB|SDSS|SDSS_g            3565.499074690214    All      -0.9898826407284381       0.2628407661141807         -0.6091134639359674        0.3808712906460558        
Check         All|All|All               All                  All      0.9960840433527343        0.9980592116521692         -0.002926993831714464      0.0005127590047198649     
Lambda        AB|SDSS|SDSS_r            4659.04140837445     All      -0.000467423652812132     -0.00017498557968084923    -0.0018081981226565449     1.4565123885125769e-05    
Lambda        AB|SDSS|SDSS_z            6717.262539693357    All      -8.427211451353113e-05    -1.5010130667887533e-05    -0.00019100335549792868    1.4037304280920968e-05    
Lambda        AB|SDSS|SDSS_i            5649.902025158775    All      -0.0001809234881145942    -5.642807134081036e-05     -0.00021718281997828214    3.08603812497587e-05      
Lambda        AB|SDSS|SDSS_g            3565.499074690214    All      -0.0017756088710520093    0.0003717015194549784      -0.0023446638259279704     0.0005948180607019075     
MWEBV         All|All|All               All                  All      -0.6102724698034887       -2.7654064249887256        -0.0024566197608655305     -0.702107658662044        
Redshift      All|All|All               All                  All      8.28880370833393          0.7587522154231863         6.440839305176688          -2.1653604260917056       
