#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_g          4191.537173731656    All      -0.7259869600151326       0.7997045451528351         0.255625962114725          0.5083753296344251         
Zeropoint     AB|DECam|DECam_i          6767.904297577095    All      0.8475562050899369        -0.007967436221001378      0.25798520716970863        -0.2671595009539701        
Zeropoint     AB|DECam|DECam_r          5570.864289622258    All      0.4174927615783012        0.30132410802892196        -0.4608505271786245        -0.05840559471428364       
Zeropoint     AB|DECam|DECam_z          7930.988451185938    All      0.45628041523438834       -0.09387019763238413       -0.055814259089265184      -0.18169288806579864       
Check         All|All|All               All                  All      0.9953424218874938        0.9991910193283715         -0.0030536169834560756     0.0011173459003727126      
Lambda        AB|DECam|DECam_g          4191.537173731656    All      -0.0008368920861247381    0.0006240604093118175      -0.0012386913727325138     0.0004206031848117919      
Lambda        AB|DECam|DECam_i          6767.904297577095    All      -0.0003754789393818111    -2.2902166662655192e-05    -0.0004409654592967545     9.516759113859954e-05      
Lambda        AB|DECam|DECam_r          5570.864289622258    All      3.558473558502996e-05     4.1495793361891455e-06     -0.00021911055815830637    -2.0017362448380714e-05    
Lambda        AB|DECam|DECam_z          7930.988451185938    All      3.575732696895645e-05     1.0602704584271115e-05     0.00021835360210482126     1.5504303269300258e-06     
MWEBV         All|All|All               All                  All      -0.49094544683072217      -3.4542478161268875        0.0055746701063341675      -0.9649962995086636        
Redshift      All|All|All               All                  All      1.47643132699021          0.13239141834233692        -2.489699052163463         -0.5489018497701198        
