#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_g          4191.537173731656    All      -0.8131310798273997       0.7761865934343248        -0.023514918607813958      0.5166436903623629        
Zeropoint     AB|DECam|DECam_i          6767.904297577095    All      0.8335781238385879        0.004095321775565708      0.3140860005537331         -0.256173622145655        
Zeropoint     AB|DECam|DECam_r          5570.864289622258    All      0.5088446655801755        0.2952478410897186        -0.3043964916910277        -0.08315933024499274      
Zeropoint     AB|DECam|DECam_z          7930.988451185938    All      0.4666770623858488        -0.07651173593874461      0.010688343520654186       -0.17645749031344096      
Check         All|All|All               All                  All      0.9959687719772123        0.9990180203608645        -0.0031370662244544108     0.0008532476582742421     
Lambda        AB|DECam|DECam_g          4191.537173731656    All      -0.0007538310582494432    0.00041009312555004805    -0.001536581486448627      0.0003105578241550584     
Lambda        AB|DECam|DECam_i          6767.904297577095    All      -0.0004194074491973758    -1.796296487378809e-05    -0.0004103304659069039     0.00011245251156167487    
Lambda        AB|DECam|DECam_r          5570.864289622258    All      3.686496467292145e-05     -4.877538864279401e-05    -0.00023643158832058856    -3.844673645460459e-05    
Lambda        AB|DECam|DECam_z          7930.988451185938    All      1.1881257026374556e-05    1.582213794670845e-05     0.00019331860934873818     9.91059622186027e-06      
MWEBV         All|All|All               All                  All      -0.5099323327513989       -3.443176027513317        0.023939082504004557       -0.954385680931228        
Redshift      All|All|All               All                  All      2.1291072013429133        0.8695442472667736        -0.5355909781907879        -0.43418205800921095      
