#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5634.678350298418     All      0.8032848254785465         0.21945609108993125        -1.7192086530487989       -0.2668926123310426       
Zeropoint     AB|SDSS|SDSS_z            8123.905861331793     All      0.1303696068660477         -0.004132942794221606      0.17086554409579457       -0.03618696095086171      
Zeropoint     AB|SDSS|SDSS_u            3279.3247345376067    All      -0.13556248950960356       0.1031169164322776         0.3555960390796787        0.0936143528650805        
Zeropoint     AB|SDSS|SDSS_g            4312.140348882538     All      -0.677714850006608         0.6472247476125403         -0.2279566589786098       0.4214037574394394        
Zeropoint     AB|SDSS|SDSS_i            6833.032341212175     All      0.8728691381382181         0.03561221495491651        1.437493137505108         -0.2085734082557335       
Check         All|All|All               All                   All      0.9932462309666006         1.001277027295444          0.016789408653172577      0.0033651287668821084     
Lambda        AB|SDSS|SDSS_r            5634.678350298418     All      -7.672004786146557e-05     -9.950719776601668e-06     0.0005614195333757278     4.680254207079434e-05     
Lambda        AB|SDSS|SDSS_z            8123.905861331793     All      9.996368076822286e-07      -8.199489384101921e-08     1.5274150154167996e-05    3.2929213993412623e-07    
Lambda        AB|SDSS|SDSS_u            3279.3247345376067    All      -0.00010123619720464243    7.01385317396005e-05       0.0002073260302558314     6.50743957945576e-05      
Lambda        AB|SDSS|SDSS_g            4312.140348882538     All      -0.0003181279710518895     0.00013648491639826893     -0.001130090119294793     9.765164205432306e-05     
Lambda        AB|SDSS|SDSS_i            6833.032341212175     All      -0.0006282402414611865     -1.2292756834590789e-05    -0.001033466973021121     0.0001545154753494144     
MWEBV         All|All|All               All                   All      -0.8331824215986678        -3.550049154660506         0.5265006246502097        -0.8614775724706057       
Redshift      All|All|All               All                   All      5.587743644628038          0.6923091158173023         -5.259696320263366        -1.829320170907758        
