#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                   dc/dP                     
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5204.012361847068    All      2.902406248340937         1.3310038811168212        3.9118208957944         -0.3372908483714277       
Zeropoint     VEGAHST|ACSWF|F775W            3466.708514941391    All      -0.2651122019959713       1.011384432379181         3.5746780497654345      0.575318412766455         
Zeropoint     VEGAHST|ACSWF|F850LP           4071.881939434301    All      -1.6171395840032061       -1.3760071342504787       -7.357710521831912      -0.24979605594079632      
Check         All|All|All                    All                  All      1.0201544623417598        0.9663811792455235        0.1287884237279222      -0.011768491545769005     
Lambda        VEGAHST|NICMOS2|F110W_faint    5204.012361847068    All      0.002053484697525982      0.0009296249944887147     0.002750492215504916    -0.0002433362441410728    
Lambda        VEGAHST|ACSWF|F775W            3466.708514941391    All      -0.0009340301769830001    0.003380539143366874      0.011744382199850096    0.001929495010335289      
Lambda        VEGAHST|ACSWF|F850LP           4071.881939434301    All      -0.0017011711866784266    -0.0011609007407180248    -0.00785641881344639    -0.0001746120297986168    
MWEBV         All|All|All                    All                  All      -0.010921034900734261     -1.168404268999268        0.32883460699615563     -0.36235599118568745      
Redshift      All|All|All                    All                  All      2.4580786352316015        -1.2644044670656385       -3.2023523415642767     -1.355441489606367        
