#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                    dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4677.526408999677    All      -2.5102589408067484        1.2872396392717533        -1.039896403277396       1.1905644211171005       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5601.342499699446    All      3.477259025266739          -0.2841019937806166       0.9270912907158202       -1.1838272026772927      
Check         All|All|All                            All                  All      0.967000084459991          1.0031376454911367        -0.11280511256157588     0.0067372184398077906    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4677.526408999677    All      -0.00014002193632351042    3.3137573450063486e-06    -0.000959563836655477    3.868224119451604e-06    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5601.342499699446    All      -0.0002281226486912375     2.4473100996328275e-05    0.0005775559793762653    0.0001080524165674639    
MWEBV         All|All|All                            All                  All      -0.27820845612546563       -2.5924659182752663       -0.10675572737826045     -0.758593810032776       
Redshift      All|All|All                            All                  All      6.796448036259591          0.27983153397617144       -2.343128091905289       -2.227239430252262       
