#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4677.526408999677    All      -2.3002976079106086       1.2634393557883428         -0.24526652564137633      1.149881253969408          
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5601.342499699446    All      3.2977938609312565        -0.26118056812318713       0.2429790219647613        -1.148432020535919         
Check         All|All|All                            All                  All      0.997496253020648         1.0022587876651556         -0.002287503676615038     0.0014492334334890167      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4677.526408999677    All      0.00011270095792965186    -0.00015995487371461164    -0.0011966189630916587    -0.00014221258292762892    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5601.342499699446    All      -0.0003103711536857582    3.1575486317698915e-05     0.00018907306076200914    0.00011982073268008222     
MWEBV         All|All|All                            All                  All      -0.25185986241466285      -2.591375018058706         -0.007837040562021065     -0.762406785081772         
Redshift      All|All|All                            All                  All      4.270240023190904         1.321882792258755          -1.3560517216076027       -1.0208913084014302        
