#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4314.441326171056     All      -1.063783050700167         0.756812611097768          -0.07433228488706342       0.5897107943871034         
Zeropoint     AB|CNIa02|SDSS_i                      7380.2517397809515    All      0.5308758064137371         -0.11417226957588511       0.1439239493486683         -0.20369071496053898       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5397.593085930356     All      0.3819584474288118         0.4673086551453487         -0.03624044936070848       0.02618412578310093        
Zeropoint     AB|CNIa02|SDSS_r                      6085.928270393457     All      1.148009135080307          -0.11146536966064602       -0.03246604879203235       -0.4117010923209973        
Check         All|All|All                           All                   All      0.997060338222689          0.9984836270065856         0.000885166308864066       0.0005031128886680558      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4314.441326171056     All      -0.0005191639770790371     0.00021480107412381232     -0.0006944939043751566     0.00020808449065259056     
Lambda        AB|CNIa02|SDSS_i                      7380.2517397809515    All      -3.659201134775186e-05     -5.141217841024526e-05     -0.00038893941651646974    -2.2183995806270282e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5397.593085930356     All      4.327211448527444e-05      -3.7598810658470176e-05    -0.0009361899953722841     -6.81201806220676e-05      
Lambda        AB|CNIa02|SDSS_r                      6085.928270393457     All      -4.0791726305519474e-05    -3.970500074999356e-05     -0.0003537458836651249     -1.5432071826252835e-05    
MWEBV         All|All|All                           All                   All      -0.8731216914189392        -4.0325787833101145        0.016837261383651877       -1.0283877482350539        
Redshift      All|All|All                           All                   All      4.825738309799859          -0.323694238683192         3.561526048389119          -1.5184050422976356        
