#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4314.441326171056     All      -1.0219681086835681        0.7610641529022466         0.07882833128920463        0.5843100139975361         
Zeropoint     AB|CNIa02|SDSS_i                      7380.2517397809515    All      0.5350567781297838         -0.11650066308437346       0.09382256660721566        -0.20804682397034813       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5397.593085930356     All      0.4081722410815077         0.46371047345772354        -0.01385707613281717       0.017472251773947844       
Zeropoint     AB|CNIa02|SDSS_r                      6085.928270393457     All      1.0757762299895437         -0.10970811433628214       -0.15786840197699048       -0.3931961939402845        
Check         All|All|All                           All                   All      0.9970371405172668         0.9985658489393145         0.0009254197866126468      0.0005392478608513551      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4314.441326171056     All      -0.00044847185393944236    0.00016669314115633487     -0.0007203837013383613     0.0001682320612418312      
Lambda        AB|CNIa02|SDSS_i                      7380.2517397809515    All      -3.642398312693261e-05     -4.687218299832117e-05     -0.000351885072668758      -1.9106337077201437e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5397.593085930356     All      1.164848040389354e-05      -4.1987622072053696e-05    -0.0009086976594762903     -5.80220461968075e-05      
Lambda        AB|CNIa02|SDSS_r                      6085.928270393457     All      -3.897716608771873e-05     -2.976947989505201e-05     -0.00021029907907022636    -6.385435713340162e-06     
MWEBV         All|All|All                           All                   All      -0.8728683526454626        -4.030520858593167         0.022754251049372787       -1.0275358871511209        
Redshift      All|All|All                           All                   All      4.808000057255078          -0.1674536331988108        2.7186827571196726         -1.4993466295532554        
