#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                5887.556728994617    All      0.7922400980319334        0.07459469197570456      -0.12606873513598682      -0.23938658722145248       
Zeropoint     AB|PS|PS_i                5122.982320576814    All      1.31136273131247          0.3844597911378145       0.7288592869277744        -0.26939713936988613       
Zeropoint     AB|PS|PS_r                4229.617080150768    All      -0.22181532853044078      0.3885332697866062       0.09136396460038831       0.20288777246491863        
Zeropoint     AB|PS|PS_g                3330.585181086015    All      -0.8900620148783279       0.15136331785363666      -0.6915851645231008       0.3083642231896742         
Check         All|All|All               All                  All      0.9917254859356347        0.9989510707537619       0.0025693518690750317     0.0024682690632542026      
Lambda        AB|PS|PS_z                5887.556728994617    All      -3.913148269930688e-05    6.493693197002614e-05    0.0016283115794857189     0.00010656257363481321     
Lambda        AB|PS|PS_i                5122.982320576814    All      0.0004350894568440248     3.331840685338562e-05    -0.001137711758751294     -0.00018164089932884902    
Lambda        AB|PS|PS_r                4229.617080150768    All      -0.0002431686359485116    5.342028372146386e-05    -0.0013408648616827126    3.677212821480255e-05      
Lambda        AB|PS|PS_g                3330.585181086015    All      -0.0008438109800246585    0.0003762356942838676    0.00175231911519582       0.0004756072941662389      
MWEBV         All|All|All               All                  All      -0.5270028884782416       -2.3814245192557593      -0.11916318838619544      -0.6093638396046992        
Redshift      All|All|All               All                  All      1.2565438567383276        -0.47102864819912327     -14.185450066531535       -1.195758685359046         
