#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                5887.556728994617    All      0.6122776332340003        0.06072597196968843       -0.2825144306168963        -0.19226584308105107       
Zeropoint     AB|PS|PS_i                5122.982320576814    All      1.25172253560605          0.40248627617085475       0.3893227143605409         -0.25925050409374634       
Zeropoint     AB|PS|PS_r                4229.617080150768    All      -0.209990173459977        0.3845056643704936        0.10555627101788793        0.1983573442866193         
Zeropoint     AB|PS|PS_g                3330.585181086015    All      -0.661768536067568        0.1506528384894068        -0.21318310722816736       0.25511898660153615        
Check         All|All|All               All                  All      0.9922414593125053        0.9983707510004436        -0.0008185524666348143     0.0019599837133580933      
Lambda        AB|PS|PS_z                5887.556728994617    All      -0.0004055771303043762    -4.728425378196135e-05    -2.1770675805006706e-05    0.00011573625209678467     
Lambda        AB|PS|PS_i                5122.982320576814    All      0.00013782248939087451    1.6620969885181215e-05    -0.0021778883929780943     -0.00013666847861358054    
Lambda        AB|PS|PS_r                4229.617080150768    All      -0.0003228886188359545    8.093762162172663e-05     -0.0013905982991650127     6.948347670100143e-05      
Lambda        AB|PS|PS_g                3330.585181086015    All      -0.0012317033583642185    0.0002426541214331595     -0.0007920676722982518     0.00044490039371091774     
MWEBV         All|All|All               All                  All      -0.5100014465706988       -2.375204846562795        -0.050934076686004665      -0.6098310646573547        
Redshift      All|All|All               All                  All      3.786212472613969         0.2706171848551264        1.206755604308014          -1.0912930846803404        
