#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                5896.345319579355     All      0.9801367187294917         0.0683234500936436        -0.4185674262022816       -0.3156863211809644       
Zeropoint     AB|PS|PS_r                4235.930798142579     All      -0.16134544147201157       0.48858491415142424       1.410963819074812         0.2746685338230245        
Zeropoint     AB|PS|PS_i                5130.629600469113     All      0.7665011760819035         0.3158031294722363        -0.39276847647211777      -0.16433463449066688      
Zeropoint     AB|PS|PS_g                3335.5568783301387    All      -0.5963532389184723        0.12610368426955176       -0.6064079718301106       0.20826678535742635       
Check         All|All|All               All                   All      0.9889392144209113         0.9988151779868559        -0.006780055429698062     0.002914363508819545      
Lambda        AB|PS|PS_z                5896.345319579355     All      -0.0007101826384030499     -7.015243384645914e-05    -0.0003549989302871863    0.00019263692218477078    
Lambda        AB|PS|PS_r                4235.930798142579     All      -0.0003045027152071523     0.00013897738023217206    -0.0006559532555106721    0.00011518387603725155    
Lambda        AB|PS|PS_i                5130.629600469113     All      -5.0423919965190956e-05    3.280534523997549e-05     -0.002219286849946774     -7.192606945848261e-05    
Lambda        AB|PS|PS_g                3335.5568783301387    All      -0.0010631678202807301     0.00022078248461311457    -0.0010910750388369555    0.0003695351871573882     
MWEBV         All|All|All               All                   All      -0.5011653034343924        -2.3988761550050697       -0.30478752966855205      -0.631748124799762        
Redshift      All|All|All               All                   All      3.381281154652717          0.025595216100882112      -2.3510606254851          -1.1979743466590533       
