#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_z          6473.114879399175     All      0.9958642607295445         -0.045595342301751884     -0.054003805838531704     -0.3416475975345848        
Zeropoint     AB|DECam|DECam_r          4546.828525374424     All      -0.3952044810426961        0.390198190522284         -0.9886992345131018       0.211710383204132          
Zeropoint     AB|DECam|DECam_i          5523.828748539534     All      1.1250139713279264         0.22778479184122347       0.11055410025735402       -0.2873235399841842        
Zeropoint     AB|DECam|DECam_g          3421.0491937836564    All      -0.5257668694380689        0.3313771181174374        0.7725853155687412        0.3136769302242423         
Check         All|All|All               All                   All      1.199906881576706          0.903764758179193         -0.1595636245255383       -0.10358382409039468       
Lambda        AB|DECam|DECam_z          6473.114879399175     All      -0.00036146309655034185    -9.334438242591641e-05    -0.0012066674160970407    3.348706127658985e-05      
Lambda        AB|DECam|DECam_r          4546.828525374424     All      -6.0297911137850236e-05    -0.0002783391118463862    -0.0023024647608630247    -0.00017377161985236822    
Lambda        AB|DECam|DECam_i          5523.828748539534     All      0.0001955176576343179      3.911767095161001e-05     1.2853876049278803e-05    -5.0371011616924005e-05    
Lambda        AB|DECam|DECam_g          3421.0491937836564    All      -0.0008703838684344849     0.000487225286191008      0.0009205443142278823     0.00048329763051293574     
MWEBV         All|All|All               All                   All      -0.35115479939030525       -2.5542271875668376       0.014990178276264032      -0.7169442129487571        
Redshift      All|All|All               All                   All      3.028829361533213          -0.06833503248451223      -6.529214900598035        -1.300217210227901         
