#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          4512.826121903739     All      -0.9525570560472684        0.9928799436854874         -0.040054029484484034     0.6319054064147822         
Zeropoint     AB|DECam|DECam_r          5997.8811700257465    All      1.0494568562262536         0.21388147808485414        -0.11324725227829317      -0.27722809501743506       
Zeropoint     AB|DECam|DECam_z          8538.913141300973     All      0.35805342855060657        -0.0838998640823263        0.14506247951220247       -0.13748525502923817       
Zeropoint     AB|DECam|DECam_i          7286.676471834584     All      0.5440936693932877         -0.1245023190911354        0.008875011588213813      -0.21738765859831854       
Check         All|All|All               All                   All      0.9990468981228797         0.9983592385968798         0.0006362093376390682     -0.0001956022302095628     
Lambda        AB|DECam|DECam_g          4512.826121903739     All      -0.0003891973151601096     0.0002663870265726936      -0.0005802764961875254    0.00018765031327528086     
Lambda        AB|DECam|DECam_r          5997.8811700257465    All      -0.00013917374182557214    -9.8189368123681e-05       -0.0008386650217990243    -2.4075809213216684e-05    
Lambda        AB|DECam|DECam_z          8538.913141300973     All      0.00016669993228088942     -4.4148165254314164e-05    5.784389567520943e-05     -6.609885466700323e-05     
Lambda        AB|DECam|DECam_i          7286.676471834584     All      -0.00016162214166263151    -6.730542728171441e-05     -0.0007023211158739657    -6.193089556404605e-07     
MWEBV         All|All|All               All                   All      -0.6055462576079109        -3.8276946775415155        0.025571978953758873      -1.0484185859338566        
Redshift      All|All|All               All                   All      4.794464107112904          0.9972295427336242         3.0573524102260663        -1.1004486267681788        
