#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_g          4512.826121903739     All      -0.9496748142674964        0.9966751452645362         -0.11235775672182591       0.6289762041892972         
Zeropoint     AB|DECam|DECam_r          5997.8811700257465    All      0.9866740673516293         0.23562283960858466        0.049938804435445405       -0.24241355424605496       
Zeropoint     AB|DECam|DECam_z          8538.913141300973     All      0.33159933546107134        -0.08902618492623304       0.03306478333423568        -0.13553604073958114       
Zeropoint     AB|DECam|DECam_i          7286.676471834584     All      0.6011928000032403         -0.14435803434640349       -0.09304591158714182       -0.24700264633129715       
Check         All|All|All               All                   All      0.9697913885484445         0.9989137656004843         -0.12240008053928664       0.004023962872364006       
Lambda        AB|DECam|DECam_g          4512.826121903739     All      -0.00046109530149355236    0.0002882599079050866      -0.0008792279232657157     0.00020485374068769899     
Lambda        AB|DECam|DECam_r          5997.8811700257465    All      3.88484730544442e-05       -6.777572009335966e-06     -0.00022978449799590427    -2.511613071310067e-05     
Lambda        AB|DECam|DECam_z          8538.913141300973     All      0.00011085488424403428     -3.9674608713999236e-05    -4.318422031217132e-05     -5.0959521544234853e-05    
Lambda        AB|DECam|DECam_i          7286.676471834584     All      -0.0001253377458860467     -7.106666666982416e-05     -0.0006331238007503449     -1.0575531428851703e-05    
MWEBV         All|All|All               All                   All      -0.6222687696321381        -3.833793844858313         -0.08425330047114876       -1.0498592108764568        
Redshift      All|All|All               All                   All      4.843872232727658          -0.15174099624530868       -0.6059231626497352        -1.6542751473146515        
