#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B           4457.010681288698     All      -0.12703269203504156       -0.01779873218600292       -0.09673964441254679       0.0312640483923517         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I           7895.066307871801     All      0.18440756348927673        -0.0380563438537318        0.03429715309539172        -0.07093328904525728       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R           6372.010911705068     All      0.3062370566894956         -0.06950240375552807       -0.05152741162544605       -0.12469013545202273       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5377.4352013862335    All      0.24613763445307046        0.36245705530312256        -0.027434714951124484      0.03666477684096028        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I           8230.770928175962     All      0.10354070535911855        0.028044056552700702       0.02611670624757534        -0.0234262736320847        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4402.031099065526     All      -0.4511519531237658        0.07251428968798601        -0.21255040061644026       0.16109017522061875        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7610.740542283435     All      0.2581581717300445         -0.03720104377574751       0.06248495769101692        -0.09341979684108231       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V           5387.209375979437     All      0.0679563470562982         0.1357084169291367         0.11622456252682878        0.02725564655993943        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B           4423.818660949441     All      -0.12185215127701021       -0.05688946096081837       -0.007919101385162053      0.020807092321310956       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R           6373.245257001452     All      0.24283318845990287        0.17675346009583537        0.10026521869166694        -0.017049965277950857      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4808.806601492573     All      -0.27306147696463345       0.2756779551424837         0.24149852620546086        0.18951945609031445        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V           5390.342282558672     All      0.10285031526909047        0.1246160014331088         0.03259116757378944        0.008544194176425893       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3597.4460554478856    All      -0.15423373476956967       0.0832219003935375         -0.06953812031110229       0.0742439454985297         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6224.774961334501     All      0.714960092982575          0.047500448346593505       -0.057442158302328794      -0.21997694473074939       
Check         All|All|All                              All                   All      1.099749067318852          1.0870455993526762         0.09032674042757927        -0.0001070698786961588     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B           4457.010681288698     All      -8.129189271166679e-05     -3.8654065918794396e-05    -0.00017152777014464417    6.23404634627236e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I           7895.066307871801     All      3.3584818568928924e-05     2.6678497975542195e-05     4.314991222069691e-05      -3.240334264336321e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R           6372.010911705068     All      2.8476109549442207e-05     -7.826673338565533e-05     -1.2848426150258156e-05    -3.534302192758401e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5377.4352013862335    All      0.0003705653774489564      -0.00034499132306256753    -0.0007704747843122165     -0.0002674631094339732     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I           8230.770928175962     All      1.601853093349155e-05      -4.297625517792698e-06     1.1031260816236516e-05     -6.1253660323973434e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4402.031099065526     All      -0.00041084852034392654    4.385518562934941e-05      -0.000552138422647171      0.0001234725544203953      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7610.740542283435     All      1.2046661005568167e-05     5.446930696427786e-06      -1.8033454453868737e-05    -2.9544995339805856e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V           5387.209375979437     All      0.00012372144147471345     4.945267705643826e-05      3.3607291020550694e-05     -2.2692040895263764e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B           4423.818660949441     All      -5.13902534500104e-05      -8.553682562958543e-05     -4.366670550668466e-05     -1.3071306460583333e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R           6373.245257001452     All      1.6265698084368788e-06     -3.5345641609477646e-05    -5.0511217649384485e-06    -1.2268473973847262e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4808.806601492573     All      -0.00019199562668882785    0.00023568520085657973     -0.00019447501689985854    0.00013063118900004137     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V           5390.342282558672     All      0.00016217651998647753     -5.547170897523881e-05     -0.00012553565037482298    -7.649726809871892e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3597.4460554478856    All      2.6449157602208794e-06     0.00011057534997688503     0.00017683745889989034     4.3047936835814054e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6224.774961334501     All      9.19604913351118e-05       -2.448027972305169e-06     4.413330499723367e-05      -2.8782493981366764e-05    
MWEBV         All|All|All                              All                   All      -0.8675963693039082        -4.1232702935178445        0.03283323883742639        -1.0590149089554426        
Redshift      All|All|All                              All                   All      7.630922880431608          4.646552570799312          7.071277141344368          -0.6565489710971067        
