#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_z          5614.113972584458     All      1.690354338062286         0.08917685109359752      -0.3228512597371456        -0.5359635536002207       
Zeropoint     AB|DECam|DECam_i          4790.800833464886     All      0.8858620030396336        0.40385989628628494      0.7923122552638536         -0.12164668657400675      
Zeropoint     AB|DECam|DECam_r          3943.4513415617716    All      -1.578286227377177        0.5058567346601706       -0.4696969843282697        0.6579135098320439        
Check         All|All|All               All                   All      0.9979301137247428        0.998893482040053        -0.00023598880156167068    0.00030326965781635185    
Lambda        AB|DECam|DECam_z          5614.113972584458     All      1.6094554683041013e-05    1.488478960209953e-05    0.00037198384217985807     1.6205870129543675e-05    
Lambda        AB|DECam|DECam_i          4790.800833464886     All      -9.463063064177566e-05    -4.06055815802619e-05    -0.0008092050174111666     -1.851336753218764e-05    
Lambda        AB|DECam|DECam_r          3943.4513415617716    All      -0.00129157047833132      0.0002966891240835452    -0.001826843118923999      0.00043582478668478087    
MWEBV         All|All|All               All                   All      -0.10268233917201752      -2.078591518291617       0.03458178665869095        -0.6420753988102147       
Redshift      All|All|All               All                   All      3.84561372337681          0.1578233065266943       -0.46974358291105967       -1.222197162120173        
