#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6188.872942032474     All      1.2316500994071482         0.07950276143589008       0.3355834732819995         -0.3603167433653499       
Zeropoint     AB|SDSS|SDSS_z            7358.054031966737     All      0.0853759098373893         0.005161841127332423      0.1993811469442965         -0.017230896279703013     
Zeropoint     AB|SDSS|SDSS_r            5103.489437462803     All      0.7109168720811166         0.3243202771155751        -0.5770164496649007        -0.15167682363831692      
Zeropoint     AB|SDSS|SDSS_g            3905.6289206310576    All      -1.02846283228691          0.5901861599824088        0.060253436309520854       0.5299360628806916        
Check         All|All|All               All                   All      0.9994800490387439         0.9991710396612064        0.018201606870916105       0.0007115995973218103     
Lambda        AB|SDSS|SDSS_i            6188.872942032474     All      -0.00028810168213766864    -2.443926578127114e-05    -0.0002870451556465842     7.307401629733402e-05     
Lambda        AB|SDSS|SDSS_z            7358.054031966737     All      -1.891547557078252e-05     -9.647926398803651e-07    -3.5548281427358684e-05    4.260771457770038e-06     
Lambda        AB|SDSS|SDSS_r            5103.489437462803     All      -2.1780278515171705e-05    2.8179629049296408e-06    -0.0005498417283211        -1.652445451462194e-05    
Lambda        AB|SDSS|SDSS_g            3905.6289206310576    All      -0.0010824258458296742     0.0004884068983813151     -0.001888132703102738      0.0004274132129921545     
MWEBV         All|All|All               All                   All      -0.5709961794219165        -3.1859485514786456       0.1497638409093599         -0.8450927445772466       
Redshift      All|All|All               All                   All      5.584599760480605          0.4815031640710288        -2.5567948893810164        -1.7763444613207737       
