#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6188.872942032474     All      1.426725723268072          0.07543272294583403       1.3742979968619284        -0.3788319787466299        
Zeropoint     AB|SDSS|SDSS_z            7358.054031966737     All      0.16749131935448847        0.017562126951276014      0.8577003467396427        -0.010561643289863643      
Zeropoint     AB|SDSS|SDSS_r            5103.489437462803     All      0.031450068141213094       0.26629866536893587       -4.894131773129695        -0.14190470869415162       
Zeropoint     AB|SDSS|SDSS_g            3905.6289206310576    All      -0.6092362997416951        0.6449236050066531        2.8450655930841506        0.5354833521175495         
Check         All|All|All               All                   All      1.0164308110220783         1.004217120272699         0.1829321635560266        0.004185021386904353       
Lambda        AB|SDSS|SDSS_i            6188.872942032474     All      -0.00012387354186279892    1.0480480955636851e-05    0.001254972798968752      9.976719748441525e-05      
Lambda        AB|SDSS|SDSS_z            7358.054031966737     All      2.213999380510896e-05      8.99936568400842e-06      0.0003759586374315054     1.249697238013541e-05      
Lambda        AB|SDSS|SDSS_r            5103.489437462803     All      -6.05578810887993e-06      7.031179347796348e-05     -0.0008675305251445528    -1.3838469171974051e-05    
Lambda        AB|SDSS|SDSS_g            3905.6289206310576    All      -0.0009710542612645666     0.0006814395168047275     0.0005535379075925779     0.0005629734434558558      
MWEBV         All|All|All               All                   All      -0.5459894557703704        -3.191920635047296        0.25558165783813314       -0.8504613980954728        
Redshift      All|All|All               All                   All      5.050358257185806          -0.49151045393180937      -6.095654600884381        -2.0771900297846173        
