#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4365.469748925585     All      -0.44268462467649655       0.3046866860830555         -0.019230213743998126      0.24258526758196233        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6515.204824020749     All      0.4866500386425034         -0.06654190824706419       0.054959376559673076       -0.17774023201983466       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                   7886.096802348788     All      0.22809735336517137        -0.04815902942656436       0.041317308900698915       -0.08814199070760259       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7816.213184749922     All      0.15911886687397514        -0.031190351747412137      0.07908229460987506        -0.05846089389571153       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5359.8187294016225    All      0.2392436274105359         0.16840639070165864        0.20256042773372337        -0.014034676908585394      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4373.330167432148     All      -0.6915630643394759        0.4862636960652367         -0.11718350072829145       0.37842756378010967        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                   5362.490617793894     All      0.31036177218395955        0.2690172326964557         -0.12929780464183324       -0.019237243883855035      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                   6361.668865877403     All      0.707825975121763          -0.08582277376305569       -0.11254528479227681       -0.26353988693855396       
Check         All|All|All                                      All                   All      0.997049944581936          0.9966599423623101         -0.0003373961024291522     -0.00014209299207118553    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4365.469748925585     All      -0.00016592571238836911    9.306267009241314e-05      -0.00011900341250329496    7.905046090157356e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6515.204824020749     All      -0.00014474916419843662    7.294020075356317e-06      -0.00014837910618826063    4.2903989161563916e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                   7886.096802348788     All      1.1592235629630725e-05     3.1398904643433464e-06     7.259278223484396e-05      4.862755703212525e-07      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7816.213184749922     All      3.4178010667472046e-06     -2.5440498534842243e-07    4.8803190974285654e-06     -9.783720963348254e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5359.8187294016225    All      4.191597072436781e-05      3.077756584547822e-05      -0.00021293521721990204    -1.313046568013556e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4373.330167432148     All      -0.0002819031949982108     9.617729418347036e-05      -0.0005063532936843656     0.0001005570319045352      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                   5362.490617793894     All      3.8066396530627735e-06     -7.965200536980828e-06     -0.0008411783809091514     -4.137240337934767e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                   6361.668865877403     All      -0.00020786572365307136    -1.0386740189506037e-05    -0.00040249583335464007    4.636386133354385e-05      
MWEBV         All|All|All                                      All                   All      -0.8393500780897329        -4.062229653502847         0.017668858855943548       -1.0490094272800814        
Redshift      All|All|All                                      All                   All      3.4965418541756943         -0.008037273585692617      -1.6900731460731413        -1.2169769214245627        
