#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4365.469748925585     All      -0.5102218642056139        0.3296885122608728         -0.05478208665314899       0.2711417689234545        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6515.204824020749     All      0.5146965809346826         -0.06878539677970252       0.14517478131836903        -0.18358079240187902      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                   7886.096802348788     All      0.2797973588295309         -0.052112028861817095      0.13554686435235386        -0.10206497305377052      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7816.213184749922     All      0.17981550184409822        -0.030920090689434687      0.13243792527251053        -0.06273341914371303      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5359.8187294016225    All      0.2798025757453573         0.17405588541610229        0.3151775126820189         -0.020380251169973412     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4373.330167432148     All      -0.7966654866355265        0.5163049731649494         -0.2713737562011098        0.41556750983743446       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                   5362.490617793894     All      0.2969293536495321         0.2440786499407821         -0.2747648158880178        -0.02947670471837409      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                   6361.668865877403     All      0.7356137000111566         -0.09576907868886764       -0.09325550575391972       -0.2749702876183424       
Check         All|All|All                                      All                   All      0.9797677201732174         1.0165414257628846         0.034160919129055944       0.013502850654836418      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4365.469748925585     All      -0.00018972830011564616    9.070170217180286e-05      -0.00015847221367467325    8.42733905583123e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6515.204824020749     All      -0.00016902507157295227    9.180614848822202e-06      -0.00019334109528193813    4.9419529761612035e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                   7886.096802348788     All      9.371726767581326e-06      1.432078582694311e-05      0.00014820774043200626     8.22590211679044e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7816.213184749922     All      -2.153522495339776e-06     3.732304921874333e-06      1.4757770212520405e-05     2.575779132354855e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5359.8187294016225    All      7.996291789593105e-05      2.1182282944534157e-05     -0.00023891102999166458    -2.980828861897555e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4373.330167432148     All      -0.0003411218553849248     9.194209667785638e-05      -0.0006644035018284119     0.00011141389977598983    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                   5362.490617793894     All      2.3108248876005453e-05     -2.5726909665027157e-05    -0.0010186405239360154     -6.136446590236701e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                   6361.668865877403     All      -0.00025711854422128335    -1.7934335166847436e-05    -0.0005612203925442574     5.286547728855787e-05     
MWEBV         All|All|All                                      All                   All      -0.8675514991503133        -4.054872893718731         0.005711679189224217       -1.037960551960747        
Redshift      All|All|All                                      All                   All      3.890139917002762          0.05982691001946705        -0.4108435619488038        -1.2659930211629582       
