#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7797.107645779934     All      0.344884132206581          -0.05974076207033718      0.5090244836345784         -0.10908421498989607      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5327.532464561594     All      0.5835969619562065         0.538702821321646         -0.6528024595395335        -0.04375507413403144      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4325.345768823772     All      -0.49088383676012415       0.4243519665784845        0.081153543614095          0.30174392143770024       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6467.361456265399     All      0.9490913857192149         -0.08472513755242161      -0.0001857196926936406     -0.33675634099984875      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3594.3845793552637    All      -0.39207808854456766       0.17670308310711036       0.06416078654161986        0.1881339411752052        
Check         All|All|All                                     All                   All      0.9946105545773105         0.9952919713844821        0.0013506345580661105      0.00028223248912920273    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7797.107645779934     All      -2.0328853416712874e-05    3.182002144470103e-06     -1.6135085245065144e-05    6.938224391729333e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5327.532464561594     All      -5.644519796425983e-06     8.722415549116511e-05     -0.0015234344150842224     -3.773349823418482e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4325.345768823772     All      -0.00032878192689744806    0.00012521339781531763    -0.0007949548911894104     0.00011240602756345813    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6467.361456265399     All      -0.00032387619698040596    1.4391954085490811e-05    -0.0007499479324219989     7.671833365605307e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3594.3845793552637    All      -0.0007612767065760516     0.00028042685725025474    2.7903950366854397e-05     0.0003405623469141907     
MWEBV         All|All|All                                     All                   All      -1.0456874055387009        -3.9443290783872875       0.13305219282768452        -0.9382454470459916       
Redshift      All|All|All                                     All                   All      5.899194536616252          -1.111938624932307        2.800266253049986          -2.158793708430199        
