#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7797.107645779934     All      0.3532629590001613        -0.07903845159651368      0.34404009859203555       -0.12546186224415834      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5327.532464561594     All      0.6497940298926501        0.5199585857837974        -0.6560382894382322       -0.07156765138823795      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4325.345768823772     All      -0.6706819439141194       0.5269427712755181        0.20459868059661268       0.39923606984735294       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6467.361456265399     All      0.9938864179106857        -0.12013464690339148      0.16310407287905004       -0.3555947253516767       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3594.3845793552637    All      -0.33035708909829636      0.14344270291717365       -0.061754456789575585     0.15157636203104174       
Check         All|All|All                                     All                   All      0.9959043737910814        0.991170961476584         -0.006049894160109481     -0.001811807105678298     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7797.107645779934     All      -4.379375624486968e-07    1.2636334802075698e-06    1.1110053142314885e-05    1.0500483137307511e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5327.532464561594     All      0.00018877972038496279    0.00020028172263484204    -0.00185338508306218      -7.896148342984998e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4325.345768823772     All      -0.0006797052682080223    0.00036931232393760347    -0.0008562686190456153    0.0003034882056470282     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6467.361456265399     All      -0.0001592512392887874    7.727710925603485e-07     -0.0004260427196587522    3.31127549798367e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3594.3845793552637    All      -0.0008695465200477484    0.0003682057968858485     1.23760219614654e-05      0.00040372893548609696    
MWEBV         All|All|All                                     All                   All      -0.9786461344168318       -3.9890830133407995       0.05479798285479287       -0.9781529496002805       
Redshift      All|All|All                                     All                   All      5.859475415395314         -3.004117582076038        5.690845144649425         -2.633207561125206        
