#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7445.164118553978     All      0.25809483752543516        -0.040805971402946284      0.1083516740408399         -0.0925265894412985        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5417.207897473233     All      0.3073130405779312         0.11979122521825758        -0.14564838861503607       -0.06758164319216077       
Zeropoint     AB|PS|PS_z                            8536.211206062804     All      0.17445924535839272        -0.03190470555392011       0.06968584837252413        -0.06410976862712607       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4322.753579290904     All      -0.4783213954505752        0.31148543060446343        -0.081836041336679         0.25361410045339206        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6135.4005724738345    All      0.6385847056560656         -0.04706053121488196       0.04168623383359903        -0.22147694554910247       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4654.3084385230495    All      -0.4954789586246665        0.42543586225392005        -0.1238003397687733        0.2944476137883598         
Zeropoint     AB|PS|PS_g                            4828.926472252961     All      -0.19348341665809105       0.30837036734414625        0.20646417734974867        0.17268383592806283        
Zeropoint     AB|PS|PS_i                            7427.675198101589     All      0.19769826487798622        -0.03555117493050375       0.043096914226949445       -0.0740537988792827        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5406.51978246159      All      0.07864865716502652        0.03836282776283895        0.002306389024721429       -0.013019496451400893      
Zeropoint     AB|PS|PS_r                            6132.408803660571     All      0.5097786268123068         -0.051612939599898766      -0.11933255139399941       -0.1881889661085288        
Check         All|All|All                           All                   All      0.9972936072398115         0.9965103904814754         0.0009739157338948257      -0.00021165807908551937    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7445.164118553978     All      -2.3293755468425463e-05    -1.2956767398870269e-05    -0.00016382823660184202    -3.94380467260494e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5417.207897473233     All      3.3683079970832225e-05     -7.135024122174597e-06     -0.0005688154976846805     -3.8679422565409794e-05    
Lambda        AB|PS|PS_z                            8536.211206062804     All      0.00019912336293344122     -3.4434484310880844e-05    0.00010835003385949        -7.124231029497458e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4322.753579290904     All      -0.00024158549969688792    7.969244786254807e-05      -0.0004379321362816099     8.510789735793337e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6135.4005724738345    All      -8.374239151016924e-05     -3.57519563157269e-06      -0.00013700854951754162    1.9999030812603695e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4654.3084385230495    All      -0.0001501577511798478     -1.620843477225433e-05     -0.0006903423654042927     1.2824890015376344e-05     
Lambda        AB|PS|PS_g                            4828.926472252961     All      -7.198751254313437e-05     1.4817702696519476e-05     -0.0003069915779009561     1.4575690249909727e-05     
Lambda        AB|PS|PS_i                            7427.675198101589     All      -2.2069170141887004e-05    -1.0234717482319754e-05    -0.00013782759958337528    -2.295742176988653e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5406.51978246159      All      1.3472496847959143e-05     5.6984889906514164e-06     8.698309542742885e-06      -2.1440845113850004e-06    
Lambda        AB|PS|PS_r                            6132.408803660571     All      -6.711438974417872e-05     -5.1811521656021e-06       -0.0001383323126233622     1.4000557247288603e-05     
MWEBV         All|All|All                           All                   All      -0.7959528033928676        -4.060909944591096         0.0453866714747881         -1.0614785560932192        
Redshift      All|All|All                           All                   All      5.42269689355945           0.6549002015418637         5.07734353865987           -1.3264497157072261        
