#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7445.164118553978     All      0.2605515729963572         -0.03832090506499242       0.13282876164797397        -0.09142506114513914       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5417.207897473233     All      0.300992734617319          0.12178892728282875        -0.15595661914483694       -0.0653322033085775        
Zeropoint     AB|PS|PS_z                            8536.211206062804     All      0.16696230786630745        -0.030424032750886454      0.06430480269653538        -0.061425596953670544      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4322.753579290904     All      -0.452062737623073         0.31861746271886204        0.02608942874144371        0.2522001472571703         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6135.4005724738345    All      0.6413832121657662         -0.047793744897184354      -0.0026406227075115307     -0.22460544702732238       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4654.3084385230495    All      -0.5073451049915401        0.41676660979614866        -0.25006522725909974       0.28985432529419936        
Zeropoint     AB|PS|PS_g                            4828.926472252961     All      -0.18676044024025362       0.3021375814974192         0.19582517406758204        0.1679889480732676         
Zeropoint     AB|PS|PS_i                            7427.675198101589     All      0.19430023499362528        -0.03362187493269886       0.054279527436573716       -0.07181948360505327       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5406.51978246159      All      0.06338752422296073        0.03244070065315796        -0.006592016790563093      -0.010374569990263816      
Zeropoint     AB|PS|PS_r                            6132.408803660571     All      0.516136164504614          -0.04492773256528082       -0.05582127088175626       -0.18524801667123628       
Check         All|All|All                           All                   All      0.9975454685120833         0.9966629917373737         0.002251937806341253       -0.0001869580766256651     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7445.164118553978     All      -3.0793882888565874e-05    -1.3187267284779871e-05    -0.0001833894920843829     -2.4487768116529193e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5417.207897473233     All      2.4969826408325192e-05     -3.956286308494584e-06     -0.0005912712631737113     -3.580790741746523e-05     
Lambda        AB|PS|PS_z                            8536.211206062804     All      0.0002272665792843103      -3.486080395108677e-05     0.0001626275687028979      -7.812619098472316e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4322.753579290904     All      -0.0002325406813577976     8.523975992032267e-05      -0.00040228375014310006    8.555946824381614e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6135.4005724738345    All      -0.00010523812571046597    -6.205955510375617e-06     -0.00022482400166764968    2.2225173280658748e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4654.3084385230495    All      -0.00017760678086493133    -6.905488246901028e-06     -0.000720191678417693      2.3464180024366885e-05     
Lambda        AB|PS|PS_g                            4828.926472252961     All      -4.813723579248299e-05     1.6510272875408846e-05     -0.0003186902922280439     6.8361363624266505e-06     
Lambda        AB|PS|PS_i                            7427.675198101589     All      -3.175592373319307e-05     -9.608831265665597e-06     -0.00015069630732091359    4.891525617466811e-07      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5406.51978246159      All      9.985668769221928e-06      6.786919584606203e-06      1.7054542327106298e-05     -2.8087194977269154e-07    
Lambda        AB|PS|PS_r                            6132.408803660571     All      -7.346203490498653e-05     -1.0564260207298443e-05    -0.00019446250399681914    1.1809906074958914e-05     
MWEBV         All|All|All                           All                   All      -0.7868014485936836        -4.061005794973127         0.0636344426599933         -1.063676360825741         
Redshift      All|All|All                           All                   All      5.395740755832792          0.5852922274006467         5.222762605117764          -1.3338534369807855        
