#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6051.388368441365    All      1.1926961130556284         0.08667343218160539        0.2392209033440125         -0.34959264401169166       
Zeropoint     AB|PS|PS_i                7329.541903912546    All      0.6259789086598552         -0.20193755127628776       -0.2253350895566747        -0.27973529876397635       
Zeropoint     AB|PS|PS_z                8423.432105846028    All      0.31304406632568604        -0.08028318276203095       0.1293719507011138         -0.12234634913409265       
Zeropoint     AB|PS|PS_g                4765.127443690165    All      -1.132596677262979         1.1942998134525595         -0.1416604372039883        0.7516250849571962         
Check         All|All|All               All                  All      0.9991224107781904         0.9987525115958462         0.0015973272844632957      -4.9206952564384565e-05    
Lambda        AB|PS|PS_r                6051.388368441365    All      -0.0001661629218153865     -2.5444271845167236e-05    -0.0007578258903594107     1.2018404883055364e-05     
Lambda        AB|PS|PS_i                7329.541903912546    All      -5.721838130190958e-05     -0.00011334434444211321    -0.001446306688763829      -8.282409755727956e-05     
Lambda        AB|PS|PS_z                8423.432105846028    All      0.000334001707868165       -9.890286701969838e-05     8.456741911267362e-05      -0.00013723740666756585    
Lambda        AB|PS|PS_g                4765.127443690165    All      -0.00041089684486289823    0.00017186555597657708     -0.00021111817011844564    0.00018040365196522745     
MWEBV         All|All|All               All                  All      -0.6967602514484028        -4.046212250580705         -0.032322030157242616      -1.092469093571285         
Redshift      All|All|All               All                  All      5.930397071746796          0.4787851904504592         3.864975713128692          -1.6032932275562561        
