#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7158.825564909098    All      0.12197036823934454        0.01192180142126631        0.15752889834046435       -0.02881664747408294       
Zeropoint     AB|SDSS|SDSS_g            3799.879158618869    All      -1.0338825330941188        0.49614605655463606        -0.019892957628042662     0.49749291676016716        
Zeropoint     AB|SDSS|SDSS_r            4965.306111701223    All      0.5546004642702207         0.3556536695423773         -0.7409033511098118       -0.09786662991201553       
Zeropoint     AB|SDSS|SDSS_i            6021.301507560953    All      1.3546822527732907         0.13518884886565274        0.6059903621569607        -0.37018655514401766       
Check         All|All|All               All                  All      0.9973705521887372         0.9989103763839324         0.002722951759570602      0.0006230842300509742      
Lambda        AB|SDSS|SDSS_z            7158.825564909098    All      -3.970129068278258e-05     -4.1628411101148225e-06    -5.414506811194886e-05    9.15979649554748e-06       
Lambda        AB|SDSS|SDSS_g            3799.879158618869    All      -0.0013526510756869954     0.0005001083059085802      -0.00110404250751728      0.0005542363381321525      
Lambda        AB|SDSS|SDSS_r            4965.306111701223    All      -0.0003128382672036708     -0.00013067632599749422    -0.0022340292837921415    -4.0358329209559226e-05    
Lambda        AB|SDSS|SDSS_i            6021.301507560953    All      -0.00018690494458835862    -2.7913370421926055e-05    -0.0003122772959977538    3.7853284890794886e-05     
MWEBV         All|All|All               All                  All      -0.5496705866716929        -3.0508539565559545        0.11033996142453262       -0.8097937443547559        
Redshift      All|All|All               All                  All      5.612918994817856          1.0195564328856932         11.472184263889606        -0.9842584097000936        
