#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5441.5263797983      All      0.5739273263692233        0.2589721802978673         -1.1448235298579024       -0.1536794689452406       
Zeropoint     AB|DECam|DECam_z          6376.668607807294    All      0.8400884031538349        0.10443476519341743        0.5566668661352414        -0.21478510661234185      
Zeropoint     AB|DECam|DECam_g          3370.077220348903    All      -0.3957752184718107       0.19256345007594433        -0.09240494204943162      0.1875176519501573        
Zeropoint     AB|DECam|DECam_r          4479.082986015069    All      -0.008216013169340286     0.43745427760946143        0.6947242608839499        0.17617182883384458       
Check         All|All|All               All                  All      1.0100244978819073        0.9934246731766905         0.014162655111857325      -0.004775094773580568     
Lambda        AB|DECam|DECam_i          5441.5263797983      All      -4.707875422004018e-05    1.13573888545735e-05       -0.0010277707574548232    -2.683011423345183e-05    
Lambda        AB|DECam|DECam_z          6376.668607807294    All      -0.0001862933513123578    -4.1248909741373904e-05    -0.0001359104715239614    4.118068631016326e-05     
Lambda        AB|DECam|DECam_g          3370.077220348903    All      -0.0004229157465662185    0.0002338151884313006      -4.354641632960985e-05    0.0002119755947753624     
Lambda        AB|DECam|DECam_r          4479.082986015069    All      -0.0002760510214866549    -0.00018223207166940693    -0.00159612630826516      -4.066786788764787e-05    
MWEBV         All|All|All               All                  All      -0.5495725239649709       -2.424910617540199         -0.17105076393544028      -0.618492523854848        
Redshift      All|All|All               All                  All      3.104823415883425         0.9742891626379091         -0.16603188188786255      -0.7013943391088447       
