#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5441.5263797983      All      0.6128452343283315         0.26553281387879935        -0.9229018625338758       -0.1543159529696004       
Zeropoint     AB|DECam|DECam_z          6376.668607807294    All      0.9337409224646349         0.07839436056844562        0.34197192091697226       -0.2633538790653303       
Zeropoint     AB|DECam|DECam_g          3370.077220348903    All      -0.49966652369102915       0.21155385752056333        -0.25407013638332543      0.2203298933312954        
Zeropoint     AB|DECam|DECam_r          4479.082986015069    All      -0.0551686259582711        0.4435295234255676         0.8318260931865344        0.19956297203595896       
Check         All|All|All               All                  All      0.991751007143666          0.9990105553933759         -0.0031739848136945747    0.0022230333323236817     
Lambda        AB|DECam|DECam_i          5441.5263797983      All      -8.946508234340943e-07     2.456506009224057e-05      -0.001071643435113179     -3.952945918398399e-05    
Lambda        AB|DECam|DECam_z          6376.668607807294    All      -0.00032135028900402826    -6.498440508327202e-05     -0.0007958523069678701    4.7991569337510745e-05    
Lambda        AB|DECam|DECam_g          3370.077220348903    All      -0.0007099502974125235     0.00029795898165284026     -0.0004910195957831868    0.0003063972620335724     
Lambda        AB|DECam|DECam_r          4479.082986015069    All      -0.000176577122683736      -0.00017790074006769773    -0.001391949167514204     -6.254744408254322e-05    
MWEBV         All|All|All               All                  All      -0.5063827457951948        -2.4393494478779587        -0.1318603860166985       -0.6355151709990396       
Redshift      All|All|All               All                  All      3.3696136518970228         0.80229153079312           1.2109667047624635        -0.7822213949678976       
