#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7409.823216233504     All      0.14564703362831397        -0.013367882987225244      0.13851704028810113        -0.045615010454745725      
Zeropoint     AB|CNIa02|SDSS_g                      4676.137338922469     All      -0.25810795522071395       0.21375341022169536        -0.22527212474657116       0.1436479102124199         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5419.220369452502     All      0.12747560654095558        0.01924358047222796        -0.22115685734290053       -0.045123946424985344      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7462.653734490657     All      0.24889478488533           -0.031025052185285062      0.1371444289779491         -0.08505897403929513       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6149.813391039222     All      0.786989429867761          -0.0777958743379159        -0.2671954692841634        -0.2936127307809796        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4665.241987568363     All      -0.39063556827907764       0.39042094939940597        0.17506407050279107        0.2622281092304124         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4331.7285955734105    All      -0.30527533118017725       0.17394668257608714        -0.06401379170344261       0.1532417342973592         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4332.908264760133     All      -0.3558898296417722        0.24662828446615492        0.18284561513690892        0.20441953204615101        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5429.933592174823     All      0.5456992287176633         0.0974751123097306         -0.06990063983162274       -0.1491206853631482        
Zeropoint     AB|CNIa02|SDSS_r                      6110.313601800215     All      0.45254727293658137        -0.022787649517663766      0.21493548786598507        -0.1452406386373307        
Check         All|All|All                           All                   All      0.9973446722548642         0.996491560417212          0.000967759863034906       -0.0002346999141421835     
Lambda        AB|CNIa02|SDSS_i                      7409.823216233504     All      -2.867059104960836e-05     2.8135566062488396e-06     -2.573233370415442e-05     9.107106820321839e-06      
Lambda        AB|CNIa02|SDSS_g                      4676.137338922469     All      -3.1571657151204844e-05    2.288104859825058e-05      -4.090982507643526e-05     1.5911420102274854e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5419.220369452502     All      3.1815326663838055e-05     8.437342919634389e-07      -8.996914666262786e-05     -1.4103376372851673e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7462.653734490657     All      -4.861339353552698e-05     -3.1410812305148183e-06    -0.00015610952323652448    7.845377075442445e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6149.813391039222     All      -0.00021179551799426258    -1.3933714296203093e-05    -0.000506167468061459      4.186216956796079e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4665.241987568363     All      4.4123599886127885e-05     -8.55470360521884e-05      -0.0003096617177509474     -5.605677240071534e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4331.7285955734105    All      -0.00012345217196207346    3.958630569596653e-05      -0.00023844686819470874    4.246620739914167e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4332.908264760133     All      -5.283683170509773e-05     3.318139838289284e-05      2.6308351190297095e-05     2.919298833910791e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5429.933592174823     All      1.808375769226148e-05      -1.4556778770999803e-05    -0.00038508527288317576    -2.7816683663927156e-05    
Lambda        AB|CNIa02|SDSS_r                      6110.313601800215     All      -4.029997028968583e-05     1.7368582316175163e-06     -1.5462398366875923e-05    1.3002762197081873e-05     
MWEBV         All|All|All                           All                   All      -0.889277449151435         -4.050155546461109         0.04112801435405873        -1.0277666317078726        
Redshift      All|All|All                           All                   All      4.393805401610774          0.3133193044861926         1.203890018977223          -1.275424483558535         
