#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7409.823216233504     All      0.18025002629300454        -0.019619318369556993      0.16263055113845404        -0.057846566500519         
Zeropoint     AB|CNIa02|SDSS_g                      4676.137338922469     All      -0.1799548271405443        0.1475231207766825         -0.2038570435772158        0.09757313776780074        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5419.220369452502     All      0.07442932422985449        0.010094253564929545       -0.18628030397538353       -0.02926888348845358       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7462.653734490657     All      0.2562747847443365         -0.03446755260299028       0.14917819927693365        -0.08804720652976772       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6149.813391039222     All      0.8799750824263255         -0.09770141491509676       -0.3538708279035241        -0.33425302956488767       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4665.241987568363     All      -0.4856049016338587        0.4827378720539066         0.12131683177596386        0.32083491193520275        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4331.7285955734105    All      -0.2270196857434731        0.1451218156788059         -0.010010929030723759      0.12077198832086966        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4332.908264760133     All      -0.3893846434714502        0.29566176396578214        0.2809801976548343         0.23568100798564973        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5429.933592174823     All      0.4527295942798846         0.09399721877709766        -0.14981695778852888       -0.12353657938756202       
Zeropoint     AB|CNIa02|SDSS_r                      6110.313601800215     All      0.4328372720877327         -0.026976592742400385      0.19459894370337238        -0.14109244610513716       
Check         All|All|All                           All                   All      0.994532026071812          0.9963711661871599         0.004868661274182173       0.0008163344331957312      
Lambda        AB|CNIa02|SDSS_i                      7409.823216233504     All      -5.634748100954874e-06     -1.488559693475802e-07     -1.7846813599872554e-05    9.905142242425909e-07      
Lambda        AB|CNIa02|SDSS_g                      4676.137338922469     All      -7.38899085658682e-05      3.7888874578946726e-05     -0.00019471723122664638    2.7720691357252238e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5419.220369452502     All      2.258998434719415e-05      -1.8678849777581914e-06    -0.0001823198455733315     -1.61028300223123e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7462.653734490657     All      -2.1502520782723466e-05    -3.4528222996396487e-06    -0.00010772725743377686    1.0720078875102247e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6149.813391039222     All      7.191141236975604e-05      9.248541590211399e-06      0.00021756581406008526     -1.070239552225178e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4665.241987568363     All      -1.6243439345860203e-05    4.108881773594729e-05      -7.093922874359928e-05     1.5509310340043777e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4331.7285955734105    All      -0.000144593607827184      4.987568264727507e-05      -0.0003314233129522174     4.855514547231443e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4332.908264760133     All      -0.00014439081365473763    0.00010847184981665379     0.0001263128890340471      8.80024525306371e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5429.933592174823     All      7.306242956650011e-05      -4.309944441159222e-06     -0.00038075968580895893    -4.2194283701461476e-05    
Lambda        AB|CNIa02|SDSS_r                      6110.313601800215     All      0.0001361845455504753      -1.2141336101646468e-05    8.78685454832839e-05       -4.439344981137194e-05     
MWEBV         All|All|All                           All                   All      -0.8854621487561989        -4.053223379292703         0.049937311027470344       -1.0296155761973096        
Redshift      All|All|All                           All                   All      2.888002080756239          -0.5647066140939572        0.04466068976034521        -1.1226678111899118        
