#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6235.779109284257     All      1.0761168898421025         -0.023563069055487773     0.24473100022123626        -0.34728072047794173       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5277.316886719359     All      0.5139637148851666         0.45925865423601664       -0.7597760433367723        -0.05172455328543576       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8067.340845906702     All      0.2786287787358209         -0.0438294209170742       0.22518283611846204        -0.0949863684380019        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3578.8930802954455    All      -0.41639162290057813       0.17920633316421686       -0.1870435622963971        0.18565895375576177        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4275.9019222229945    All      -0.4581569525868723        0.425906871019599         0.46971498247507365        0.3089298945294972         
Check         All|All|All                                All                   All      0.9941608079756395         0.9969793684472705        -0.00719078681839741       0.0005972060838796422      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6235.779109284257     All      -0.000356757333585747      8.90615610708818e-06      -0.0006031776301807128     9.219158122412948e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5277.316886719359     All      -0.00010526726341550098    0.00010448825095807955    -0.0026358473398474204     -4.9301488985510125e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8067.340845906702     All      -4.1368254841400845e-05    1.6880621402238988e-06    -0.00017193907599970557    6.352007677415336e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3578.8930802954455    All      -0.0007309347262418308     0.00021580336146633018    -0.0007777089595851663     0.0002736781629462519      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4275.9019222229945    All      -0.00021019479711960407    0.00010735019784694362    -0.00023800830747481468    9.281363415065084e-05      
MWEBV         All|All|All                                All                   All      -1.0530448384467341        -3.8796596427782326       -0.036810542745498276      -0.9223641200936912        
Redshift      All|All|All                                All                   All      6.7768202835459            -0.9037694125722417       12.424252065501042         -1.9473834407636805        
