#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8131.73987980814     All      0.5844242094634954        -0.16499909055669448       0.3676407593884153         -0.2277057055322401       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4277.911968460866    All      -0.7137559146928539       0.5344622132417598         -0.07860145873256011       0.40307808732516387       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6293.023699784271    All      1.4426808799013164        -0.25988259509439615       -0.49222796676179953       -0.5765468099159867       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5280.273471770111    All      -0.31956558880702035      0.8913413081810262         0.20474257314953984        0.4035689346936592        
Check         All|All|All                       All                  All      0.9937835858649374        1.0009218357716954         0.0015539070435954538      0.0023945065705962554     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8131.73987980814     All      -4.22092784606666e-05     1.9571008759115715e-06     -0.00010353505831167215    9.766148647517619e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4277.911968460866    All      -0.0002643302697282935    0.00013179033769662808     -8.714330815322953e-05     0.00012514070821105183    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6293.023699784271    All      -0.000498886202538991     -1.2830052676765726e-05    -0.0008218561758900267     0.00012164881230139792    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5280.273471770111    All      -0.0006079309711570964    0.0004849600898116403      -0.0011045455949293596     0.0003066997766981806     
MWEBV         All|All|All                       All                  All      -0.7901820679961822       -4.076462125599889         0.07901633830258403        -1.0669233938945448       
Redshift      All|All|All                       All                  All      7.5443391346162505        -2.446108832742677         -2.205096093196483         -3.3526208899435983       
