#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|LOSS|LOSS_N2_I 8131.73987980814 All 0.42668746693057935 -0.08846215516327582 0.37814952920082606 -0.1509261031248671
Zeropoint Linear_AB11_off|LOSS|LOSS_N2_B 4277.911968460866 All -0.363949076645414 0.27413252553995804 0.06348684689461886 0.2106772964853208
Zeropoint Linear_AB11_off|LOSS|LOSS_N2_R 6293.023699784271 All 1.1754176410756798 -0.1321884145789003 -0.11953935274081645 -0.4312648035765707
Zeropoint Linear_AB11_off|LOSS|LOSS_N2_V 5280.273471770111 All -0.8940776279361304 1.0684858675147613 0.099146544085909 0.643695951788489
Check All|All|All All All 0.34407840342471474 1.1219678233125432 0.4212435674405375 0.27218234157237203
