#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -2.0484412325901427        1.8684158012924001        -0.45898120238266077      1.255366973666488        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      3.04669958293176           -0.864719063685726        0.46553635483763545       -1.2533029856692932      
Check         All|All|All                            All                   All      0.9982583503416175         1.003696737606674         0.006555152454974678      0.0020639879971948716    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -0.00028634752480652663    3.6551084084915066e-05    -0.001411107455958786     4.220745518732509e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      -0.0008724322421584272     0.0001574402468409821     -0.0018200705040254904    0.000254241964152416     
MWEBV         All|All|All                            All                   All      -0.5121697591778274        -2.9457907453942056       -0.012438784615024567     -0.7932655047910869      
Redshift      All|All|All                            All                   All      7.250048935235026          -0.7144414048877223       0.6263599369801084        -2.566344960506995       
