#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                   dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -2.084572709237354       1.8339022019418394         -1.0392567565108646        1.22999893665707          
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      3.0836677889126136       -0.8310229365907418        1.0454924342915284         -1.22848803322652         
Check         All|All|All                            All                   All      0.9990950796752599       1.0028792653510976         0.006235677780663806       0.001510903430550048      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5175.444915629791     All      -2.99288524707526e-05    -0.00013568431333642358    -0.0007450987900448621     -6.769836974000557e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6197.6004037078565    All      -0.000174936408210483    9.045461104080312e-06      -0.00030203250368269813    4.645062420522269e-05     
MWEBV         All|All|All                            All                   All      -0.5098206970316732      -2.947031406345779         -0.009567521207598517      -0.7943066644037613       
Redshift      All|All|All                            All                   All      7.15983584470674         -0.5314189282964676        2.6377196915816636         -2.3875853991063583       
