#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4680.677368335857    All      -0.5695771361273156       0.6020179843999607        0.05763695023084381       0.3841991474621831         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7407.954605927661    All      0.45767623597022905       -0.11891190589299327      0.2395182296856202        -0.17712512846784767       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4284.740279160185    All      -0.7588535995428536       0.3664001842304643        -0.08353328203604127      0.3628044704020783         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5234.766938469392    All      0.5117389706641092        0.3594645435843091        -0.4250258209097191       -0.06856774089395168       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6058.917668982307    All      1.3660155404395562        -0.2078974849584192       0.2174508797131658        -0.5029714185267986        
Check         All|All|All                              All                  All      1.007000011403725         1.0010733213633216        0.006046956683869453      -0.0016606700243365635     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4680.677368335857    All      -0.0002860396778057309    3.9142613034882784e-05    -0.0007012924725679543    7.462710817550618e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7407.954605927661    All      -3.176191798201905e-05    3.9705200017663904e-05    -0.0003457624939344359    7.849399456242747e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4284.740279160185    All      -0.0007110940659760134    0.00024018722913481206    -0.0006774122302206405    0.0002796338174497061      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5234.766938469392    All      0.00024056309001875401    0.0002551424845724873     -0.001488575948273854     -6.167931933543477e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6058.917668982307    All      0.00011192428124379898    7.659824811681488e-06     -0.0003382925244208231    -4.9058805302205295e-05    
MWEBV         All|All|All                              All                  All      -0.8235615685699451       -3.9896185378393234       0.02597208807669782       -1.0301299000660817        
Redshift      All|All|All                              All                  All      6.680223915610995         -1.3122159537035216       13.691871466884663        -1.992395269821276         
