#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4680.677368335857    All      -0.586480634435637        0.5502869819595801         0.02012124448080536        0.3711805299312989        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7407.954605927661    All      0.47184072718929604       -0.09903202423284796       0.20224448444586635        -0.1769267938283584       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4284.740279160185    All      -0.7563747659784228       0.3764155873724917         -0.11611707455442248       0.3638053140511266        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5234.766938469392    All      0.5371153875905172        0.2992209720998673         -0.20070264217252626       -0.08644647474537005      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6058.917668982307    All      1.3332209303409848        -0.1298813391487741        0.09589603511229258        -0.4723011441952361       
Check         All|All|All                              All                  All      0.9993216447067381        0.9970101780503171         0.0014420473120155403      -0.0006885687865390566    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4680.677368335857    All      -0.0002655900344188335    -1.6101445057793222e-05    -0.0009646428486497463     3.821906159479643e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7407.954605927661    All      -7.422681188152233e-05    5.279984026357128e-05      -0.00046353111851107464    2.0691494758656803e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4284.740279160185    All      -0.0005544558412099481    0.0002030947991561773      -0.0006186802626687045     0.00021915030761580226    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5234.766938469392    All      0.0002006195051938376     0.00016143120272097772     -0.0012874454946838164     -7.021769877672403e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6058.917668982307    All      -7.362322069674965e-05    6.530445584357504e-05      -0.0007824334474312576     1.0336903661968199e-05    
MWEBV         All|All|All                              All                  All      -0.8342219603487027       -3.9823332229133257        0.016748950704343304       -1.0246959792567192       
Redshift      All|All|All                              All                  All      7.555239582358394         -0.8388341756960571        16.06877676901616          -2.0171502738433995       
