#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7283.510316394596    All      0.693481329472474          -0.10516081891687179       0.6391771555645187        -0.23162048145830838      
Zeropoint     AB|PS|PS_g                4735.20110124831     All      -1.122326795657968         1.1630030966228944         -0.2919334271273444       0.7313794829851519        
Zeropoint     AB|PS|PS_z                8370.530579766371    All      0.30743463271707777        -0.06308034476738555       0.14093585029129052       -0.11439959804382949      
Zeropoint     AB|PS|PS_r                6013.383945117402    All      1.1203606154621613         0.0035362352017287435      -0.49433774918592466      -0.38584646641658116      
Check         All|All|All               All                  All      0.998949781993745          0.9982981681403658         -0.006158170457459811     -0.0004870629335671506    
Lambda        AB|PS|PS_i                7283.510316394596    All      -0.0002114654416521426     -1.6954987892593834e-05    -0.0011638183346163369    1.1422586943684234e-05    
Lambda        AB|PS|PS_g                4735.20110124831     All      9.393567215097872e-06      -0.00017064186191156496    -0.0006205168714152663    -8.633428029659751e-05    
Lambda        AB|PS|PS_z                8370.530579766371    All      0.00016380249733728025     -4.474997635386641e-05     -4.967170396078264e-05    -7.014902186767879e-05    
Lambda        AB|PS|PS_r                6013.383945117402    All      -0.00013795140602062823    5.603305056332496e-06      -0.0003416886746458736    3.1512495977353764e-05    
MWEBV         All|All|All               All                  All      -0.6953463348403295        -3.993240448904256         0.032661608768669304      -1.0727750728542733       
Redshift      All|All|All               All                  All      4.422559284651425          1.5929590607880684         5.564808498693341         -0.6733620389388822       
