#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                7283.510316394596    All      0.6644704918947938         -0.11444462478635842       0.4995666549364461         -0.2314249136660779       
Zeropoint     AB|PS|PS_g                4735.20110124831     All      -1.0986481362061875        1.1877982504561402         0.10190112404381275        0.7493181891388697        
Zeropoint     AB|PS|PS_z                8370.530579766371    All      0.30182491366504693        -0.07635547186808367       0.028948954015930787       -0.12189393447327299      
Zeropoint     AB|PS|PS_r                6013.383945117402    All      1.1318907575963342         0.002040970014949295       -0.6243157315380743        -0.39588959048928374      
Check         All|All|All               All                  All      0.9995380269499874         0.9990391238166474         0.006101001458115318       0.00010975051023509597    
Lambda        AB|PS|PS_i                7283.510316394596    All      -0.0002644755300863425     -2.7736271694369077e-05    -0.0013214457690872788     1.8143709455054148e-05    
Lambda        AB|PS|PS_g                4735.20110124831     All      -0.00015716383381356825    -4.247228628495427e-05     -0.0007858306537930302     2.2907973807716106e-06    
Lambda        AB|PS|PS_z                8370.530579766371    All      0.00020151256324656686     -6.731543306435266e-05     -0.00016585177197844366    -9.496732543060793e-05    
Lambda        AB|PS|PS_r                6013.383945117402    All      -0.00012194261858204097    -1.862620444849579e-05     -0.0005589809256156033     8.708803688666948e-06     
MWEBV         All|All|All               All                  All      -0.695700848370925         -3.9969269966304566        0.041926779087628346       -1.073446964014504        
Redshift      All|All|All               All                  All      4.526467073986296          1.2733809303197674         7.134635068803369          -0.7412511854203477       
