#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           5212.840882905355     All      1.509900002534612          0.4293330269689477        1.2764454107080865         -0.29501431736112593      
Zeropoint     AB|MEGACAMPSF|r           4262.71494473924      All      -0.9348562900984796        0.5234852740908735        -0.479868683162951         0.4536154900964264        
Zeropoint     AB|MEGACAMPSF|z           6003.773076515558     All      0.7818098124913893         -0.05479122717897411      -0.7072479124499697        -0.30406970803778804      
Zeropoint     AB|MEGACAMPSF|g           3341.5672621214476    All      -0.37038369707984886       0.10246330311751706       -0.08982005553242625       0.15001356761870474       
Check         All|All|All               All                   All      0.9864698278476728         1.0004903769983642        -0.0004912404372604817     0.00454503231621714       
Lambda        AB|MEGACAMPSF|i           5212.840882905355     All      0.00040710790025090147     7.1416941167116305e-06    -0.0011599114279699414     -0.0001820436715850397    
Lambda        AB|MEGACAMPSF|r           4262.71494473924      All      -0.00048821810586014986    7.135222323733072e-05     -0.0013292760428635822     0.00012295098085510418    
Lambda        AB|MEGACAMPSF|z           6003.773076515558     All      -0.00023221521209363763    9.601898059825574e-06     3.8369946309256966e-05     8.048006280059655e-05     
Lambda        AB|MEGACAMPSF|g           3341.5672621214476    All      -0.0007525963276725301     0.0001735903511867464     -0.00041258011815826676    0.0002832779161796723     
MWEBV         All|All|All               All                   All      -0.3549482553381855        -2.4050122126359597       0.049059251783403236       -0.6655839869066607       
Redshift      All|All|All               All                   All      4.259498025469664          -0.16049596661087406      0.31259357306643704        -1.4257878412281555       
