#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5212.840882905355     All      1.4540012045936515        0.43935806090438234        1.2868448993258002        -0.27307667507545097       
Zeropoint     AB|MEGACAMPSF|r           4262.71494473924      All      -0.96043194426518         0.49273425282407857        -0.7549566330047712       0.43965379099921986        
Zeropoint     AB|MEGACAMPSF|z           6003.773076515558     All      0.8484770899415518        -0.030557370081751856      -0.43693463209750827      -0.30582882886666524       
Zeropoint     AB|MEGACAMPSF|g           3341.5672621214476    All      -0.35754930575182997      0.09913015762759159        -0.09670601498258866      0.14443998023674492        
Check         All|All|All               All                   All      0.9844970445181933        1.0006651012743006         -0.0017523807590680007    0.005188267293848581       
Lambda        AB|MEGACAMPSF|i           5212.840882905355     All      0.00029751283069568704    -3.7939906467028884e-05    -0.0013422292476551031    -0.00016916551924803423    
Lambda        AB|MEGACAMPSF|r           4262.71494473924      All      -0.000433792891252424     6.694284891368017e-06      -0.001361381640555282     8.272895484941966e-05      
Lambda        AB|MEGACAMPSF|z           6003.773076515558     All      -0.0002872985053566742    8.902811295835387e-06      5.933249178438584e-06     9.67472872279986e-05       
Lambda        AB|MEGACAMPSF|g           3341.5672621214476    All      -0.0006224528360579757    0.00011038595997303671     -0.0006038704531231561    0.00021176174070134852     
MWEBV         All|All|All               All                   All      -0.3704124086100733       -2.391088127385821         0.11860120384552184       -0.6529079328498083        
Redshift      All|All|All               All                   All      4.592937982588505         0.3757236192813096         2.2087721809117618        -1.2751181024502554        
