#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5335.747764026446     All      0.05350787738081091        0.029025329771936725       -0.11568509675716765       -0.013137265753943375      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6315.87448980348      All      0.23574185935709574        -0.010509044040496462      -0.034089328730035895      -0.08173327082527919       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3624.8621241118135    All      -0.15070100095087272       0.07297897717872814        -0.028652382551830335      0.07158130349185672        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_B               4374.074728098061     All      -0.3871356719690384        0.44232288897774197        0.3053819853477524         0.2838097371138184         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5345.10131217038      All      0.07535470735645924        0.03153580085291097        -0.2858083320838478        -0.02702757263812229       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8170.961696406222     All      0.08525714871905653        -0.008694271899045702      0.03677424192809475        -0.02896200308597826       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4330.823686692397     All      -0.155646501318076         0.08248612060182126        -0.26824284085944505       0.06559718329711833        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4358.006304534646     All      -0.07658714783778406       0.07116221377048149        0.0624070924033604         0.05091176979398239        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6293.120597473897     All      0.153736564189658          -0.010862408505118992      -0.05255405038480099       -0.05596054644869536       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_V               5358.280068910757     All      0.5128164605012444         0.2743151326079385         0.18419585134872296        -0.06946791409072668       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_I               8241.612179698594     All      0.18882407945890678        -0.021148077293453582      0.05160613581808304        -0.06609189450986416       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_R               6802.388355757304     All      0.532034233896862          -0.013311288475925664      0.12499145722066896        -0.17205918330083259       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8158.860297093413     All      0.051844867745381926       -0.007913262946335209      0.0002723390160386252      -0.019453035910918515      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3629.304422870764     All      -0.12104646196665747       0.0653822730199316         0.02217353691015278        0.06171547542126385        
Check         All|All|All                                  All                   All      0.9980010145630468         0.996770383621115          0.002770608625746185       -0.0002772174463206989     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5335.747764026446     All      8.372271099421355e-06      5.048877441690291e-06      -6.810488192887847e-06     -1.3864594593344291e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6315.87448980348      All      -1.5819871989058148e-05    -1.3609164027186443e-07    2.4317532075127604e-05     6.193903010774843e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3624.8621241118135    All      -0.00014755414390900357    4.3897784938577654e-05     -0.00027746724210264966    4.998010315293754e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_B               4374.074728098061     All      -0.0002649773879742951     2.864523393728777e-05      -0.0013394732600090192     3.586800823789813e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5345.10131217038      All      4.3666575745435714e-05     7.543108928894313e-06      -0.0001570393469156174     -1.8774546366117588e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8170.961696406222     All      -1.4404137227807512e-05    2.8745581630296804e-06     4.4865640037527755e-06     5.828454286433656e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4330.823686692397     All      -9.19651420658512e-05      1.898025024764552e-05      -0.0003914669841585968     1.866919071132539e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4358.006304534646     All      -7.108577920060699e-06     3.925473355500553e-06      9.257340526526222e-06      4.007266100226497e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6293.120597473897     All      -2.1950087341398198e-05    -7.244926622965865e-07     4.948740748194982e-06      7.134714059154503e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_V               5358.280068910757     All      8.430617796458632e-05      1.576756755241034e-05      -0.0007953404552581587     -5.781767191613803e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_I               8241.612179698594     All      -2.525000532858077e-05     3.228917844189711e-06      -1.0270823643193655e-05    8.818182519105196e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_R               6802.388355757304     All      -0.00011652354090252765    -1.0685764987184335e-05    -0.00017054383704902368    2.686425740704465e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8158.860297093413     All      -1.4062703155006904e-05    2.108616295117288e-06      -7.42721630194179e-07      5.2343865103542645e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3629.304422870764     All      -8.286287974724611e-05     4.254959630031362e-05      -1.2983648514999122e-05    4.0271568795115596e-05     
MWEBV         All|All|All                                  All                   All      -0.996434585790102         -3.955445920825973         0.05288405500956106        -0.9614873679151664        
Redshift      All|All|All                                  All                   All      3.95807384625429           -0.09235244972138901       3.4823680703990334         -1.1639550066224793        
