#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5335.747764026446     All      0.06016253633381342        0.0427923573696809         -0.1484613296639119        -0.012283186035207965      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R      6315.87448980348      All      0.32582703654604045        -0.009785246729610009      0.02182725528131915        -0.10834591182479146       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U      3624.8621241118135    All      -0.17600043033059842       0.08904129919056203        -0.015282182866073468      0.08565083728615908        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_B               4374.074728098061     All      -0.3596698731657526        0.3875583298882823         0.17936334910004           0.2514009712966581         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V      5345.10131217038      All      0.0853213613605012         0.04877278651900241        -0.39476391793409893       -0.029521573810576664      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I      8170.961696406222     All      0.08521067065473588        -0.007620151388287866      0.058381824254530965       -0.027632740104284365      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B      4330.823686692397     All      -0.16310646940086485       0.09317917064173287        -0.2218333622149935        0.07358126039711518        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4358.006304534646     All      -0.07905197915390935       0.0761421766281245         0.09108109622490551        0.05461637327845144        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6293.120597473897     All      0.2103209781900871         -0.01146051358844602       -0.024657373513120074      -0.07334187359929335       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_V               5358.280068910757     All      0.42640722841990997        0.2440305983566482         0.07896525915851593        -0.05588221158258797       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_I               8241.612179698594     All      0.15779042360267742        -0.014448301532787866      0.08983311784804467        -0.05209497980139517       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_R               6802.388355757304     All      0.49842273045766944        -0.0043914214725049305     0.25094676023240353        -0.15258451002551632       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8158.860297093413     All      0.05389022800297551        -0.007595932343917866      0.012426317122828824       -0.01947353579839278       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3629.304422870764     All      -0.13022867134686195       0.07054947341398332        0.022436541391384304       0.06640128694835991        
