#Format:      
#Parameter    MagSys|Instrument|Band             RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CFH12K|CFH12K_I    5208.711448043518    All      0.9049881224766013        1.1304999600122656        3.8679380375892913        0.24606493442521082        
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F675W      4347.980908703932    All      -2.9327963736075153       0.8674260166170455        -0.5460794881834374       1.2134884365939513         
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F814W      5206.418539695473    All      3.029970544912027         -0.9971991164466232       -3.311680427489516        -1.4595667361318287        
Check         All|All|All                        All                  All      1.0021622937811128        1.000726860182688         0.010178121916337712      -1.3365112666585688e-05    
Lambda        Linear_AB11_off|CFH12K|CFH12K_I    5208.711448043518    All      -5.795447606295457e-05    5.685277991277058e-05     0.00023576030488291875    4.7917399916835516e-05     
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F675W      4347.980908703932    All      -0.0024268834680549055    0.0006835058732172713     -0.0007919347270621938    0.000977815727578064       
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F814W      5206.418539695473    All      0.001583855696897748      -0.0007545081330730199    -0.002726597946221256     -0.0008833575728348796     
MWEBV         All|All|All                        All                  All      -0.07258337409119076      -2.278753974463932        0.02721704045588469       -0.7174077738860862        
Redshift      All|All|All                        All                  All      0.5941000850014428        3.1796447028035857        4.166169174230072         1.0281139396324634         
