#Format:      
#Parameter    MagSys|Instrument|Band             RestLamb             Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CFH12K|CFH12K_I    5208.711448043518    All      0.7845475263791339       1.1471997157149971        4.357484462922345         0.31258226734730443       
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F675W      4347.980908703932    All      -2.9529646097169064      0.9280623502530005        -0.45038405469929077      1.2440795910345617        
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F814W      5206.418539695473    All      3.1737236192039613       -1.0777211939592135       -3.907077461252746        -1.559190366565082        
Check         All|All|All                        All                  All      1.005306535866189        0.9975408720087842        2.294697030835735e-05     -0.0025285081832158163    
Lambda        Linear_AB11_off|CFH12K|CFH12K_I    5208.711448043518    All      0.0002009740566159658    0.00014182953180921762    0.000822849149143916      1.7454660790217685e-05    
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F675W      4347.980908703932    All      -0.002627265127613135    0.0007698383440246051     -0.0007896442011337415    0.001071310168105022      
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F814W      5206.418539695473    All      0.0017078439734857175    -0.0008961337532360182    -0.003563297007825196     -0.0010072147937439048    
MWEBV         All|All|All                        All                  All      -0.07644883177794348     -2.277808170713236        0.0317764719831737        -0.7156371212617583       
Redshift      All|All|All                        All                  All      -0.3706631190073         3.075496760658325         4.518695246593588         1.324176263338419         
