#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3624.8832539702553    All      -1.6798341003998511       0.17208958333760904       -0.07652887421036869       0.5998173381011856         
Zeropoint     AB|MEGACAMPSF|i           4435.3294898223285    All      1.2639759972623354        0.6229505198998453        0.13326705262510785        -0.20285599060353432       
Zeropoint     AB|MEGACAMPSF|z           5111.835528123911     All      1.4148350269321666        0.2036370848795599        -0.07227880491049721       -0.39775248805385827       
Check         All|All|All               All                   All      0.9989769237946506        0.9986771881170142        -0.015540626495758048      -0.0007911405562069374     
Lambda        AB|MEGACAMPSF|r           3624.8832539702553    All      -0.0021784811603052638    0.0001761123725464223     -0.00048075310464026276    0.0007455147744351695      
Lambda        AB|MEGACAMPSF|i           4435.3294898223285    All      -0.0005590536151480024    -0.0002744993774776642    -0.002538896698588739      -2.0610622161667428e-05    
Lambda        AB|MEGACAMPSF|z           5111.835528123911     All      0.000387803255094114      5.107629656252658e-05     -0.00016459196795016982    -0.00011702803196767451    
MWEBV         All|All|All               All                   All      -0.20841441708139952      -1.889937204098402        -0.028577875865898328      -0.5490025915344073        
Redshift      All|All|All               All                   All      6.421713308604017         1.0909105686017995        2.588068876178995          -1.6209242032461546        
