#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6255.022380908281    All      1.273894613926984          -0.032549931141190314      -0.2832842041060038        -0.438193642029543        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5248.387789222937    All      0.05063664806318266        0.3422246615423674         -0.3363661784230424        0.07996933128183321       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8082.635211697675    All      0.5364784506429643         -0.0746966781264291        0.44728987563665434        -0.17911935368311785      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4252.079188450444    All      -0.8627624490430541        0.7633838539783611         0.17500659009651928        0.5374990898581884        
Check         All|All|All                       All                  All      0.9982472635900769         0.998361906253109          0.002646083204127375       0.00015542542736080023    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6255.022380908281    All      -0.0003250147382114611     -4.51502653414831e-05      -0.0005644187230417816     6.59736507535029e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5248.387789222937    All      -0.00018103660369790623    0.0001757537251401954      -0.0014471553594828717     5.1638451006172054e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8082.635211697675    All      -3.545773526076158e-05     -1.0014975019089824e-05    -0.00010010523793175128    3.82030705049571e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4252.079188450444    All      -0.00046824628193205617    0.00029085548165845235     -0.00015169527477967875    0.00024049495470543732    
MWEBV         All|All|All                       All                  All      -0.7933237013643208        -4.020028001897913         0.10366470768105777        -1.0464176663131228       
Redshift      All|All|All                       All                  All      6.364875256802031          -1.12946081720251          2.50704752348628           -2.329273799116261        
