#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6255.022380908281    All      1.174277995904803          0.012083478130442415       -0.081214200818569         -0.38218920628224906      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5248.387789222937    All      -0.07815366603980567       0.30250672657050615        -0.7459108370196699        0.09070703841648764       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8082.635211697675    All      0.6774878346197601         -0.0666039253308881        0.6257522284349282         -0.21445071812868505      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4252.079188450444    All      -0.7822301074986555        0.7478039301904715         0.17414785395171162        0.5061538415897432        
Check         All|All|All                       All                  All      0.9913820569861022         0.995790209560532          -0.027224955451599087      0.00022095559529666797    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6255.022380908281    All      -0.00018301031010003284    -2.3392835608789647e-05    -0.00023506578627510935    4.1502756277378894e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5248.387789222937    All      -0.00026847647266039706    0.00019639959256736512     -0.0015616833838464946     8.173467154423205e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8082.635211697675    All      -2.8965108528516284e-05    -1.2247636268860058e-05    -7.402037337550872e-05     2.1422414030004993e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4252.079188450444    All      -0.0004921844004352914     0.0003884035809542801      -2.138324084161936e-06     0.00028674105243975287    
MWEBV         All|All|All                       All                  All      -0.7647995933341476        -4.031191852151661         0.07083407971739675        -1.0608104201616384       
Redshift      All|All|All                       All                  All      6.541061977044729          -1.495147203353575         3.589900890564479          -2.4574569245573197       
