#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4379.351217510467     All      -0.39865108578035274       0.236065301249333          -0.18220610942207838       0.19861698698334235        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6215.731124647003     All      1.3864028001586275         -0.15926050455936647       0.3593049259912662         -0.48743926053980147       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4715.247111138526     All      -1.0428483808110127        0.923517871409274          0.1975998881607266         0.6493281553414678         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7542.6433519958055    All      0.4829264870265774         -0.07353728949039962       0.26565173774382167        -0.16940374216484477       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5477.307127856575     All      0.11344405732609728        0.026560744239656486       -0.17608725216747834       -0.03615871877308968       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5488.135181926872     All      0.41138526099008277        0.04331200763711962        -0.529672423983174         -0.1435304154523316        
Check         All|All|All                           All                   All      0.9526591389100196         0.996658130485617          -0.06540923367691631       0.011413005394742631       
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4379.351217510467     All      -0.00020634618345328603    8.402353202209818e-05      -0.0003209774474079613     8.025921992849952e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6215.731124647003     All      -8.972743889036005e-05     -2.7271048865646273e-06    -0.00011894276509524184    2.30310016891685e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4715.247111138526     All      -0.00030655358017344134    6.72889317364829e-05       -0.0008923597784155901     8.195088673191804e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7542.6433519958055    All      -5.365969390846215e-05     2.7012888092383604e-06     -9.211204859108248e-05     1.4248088619127757e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5477.307127856575     All      4.359545286373134e-05      -9.473287094861724e-06     -0.00013552847482881206    -2.3334247886039193e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5488.135181926872     All      6.069544725073275e-05      -4.4436480261592545e-05    -0.0008265971092523223     -7.113216009117051e-05     
MWEBV         All|All|All                           All                   All      -0.9069375107504856        -4.108008787703632         0.03302508789425618        -1.0412204690265907        
Redshift      All|All|All                           All                   All      3.701909577454654          0.8593948901870707         1.8212434213570217         -0.8446268203718799        
